Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Gls.,Gls.,Gls.,Ass,G+A,G+A,G+A,G+A,G-TP,G-TP,G-TP,G-TP,TP,TPint,TA,TR,xG,xG,xG,xG,npxG,npxG,npxG,npxG,xAG,xAG,xAG,xAG,npxG+xAG,npxG+xAG,npxG+xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Gls.,Gls.,Gls.,Ast,G+A,G+A,G+A,G+A,G-TP,G-TP,G-TP,G-TP,G+A-TP,xG,xG,xG,xG,xAG,xAG,xAG,xAG,xG+xAG,npxG,npxG,npxG,npxG,npxG+xAG,npxG+xAG,npxG+xAG,npxG+xAG,Partidos,Links
Dani Olmo,es ESP,"CC,DL",26-227,10,7,596,6.6,5,0.76,5,0.76,0,5,0.76,5,0.76,5,0.76,5,0.76,0,0,0,0,2.3,0.35,2.3,0.35,2.3,0.35,2.3,0.35,1.5,0.22,1.5,0.22,3.8,0.57,3.8,0.57,16,40,50,5,0.76,5,0.76,0.00,5,0.76,5,0.76,5,0.76,5,0.76,0.76,2.3,0.35,2.3,0.35,1.5,0.22,1.5,0.22,0.57,2.3,0.35,2.3,0.35,3.8,0.57,3.8,0.57,Partidos,https://fbref.com/es/jugadores/ae44e8e2/Dani-Olmo
Marc-André ter Stegen,de GER,PO,32-234,6,6,494,5.5,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0,0,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,Partidos,https://fbref.com/es/jugadores/6f51e382/Marc-Andre-ter-Stegen
Ferrán Torres,es ESP,"DL,CC",24-295,12,6,490,5.4,3,0.55,3,0.55,2,5,0.92,5,0.92,3,0.55,3,0.55,0,0,0,1,2.2,0.41,2.2,0.41,2.2,0.41,2.2,0.41,0.5,0.10,0.5,0.10,2.7,0.50,2.7,0.50,11,13,36,3,0.55,3,0.55,0.37,5,0.92,5,0.92,3,0.55,3,0.55,0.92,2.2,0.41,2.2,0.41,0.5,0.10,0.5,0.10,0.50,2.2,0.41,2.2,0.41,2.7,0.50,2.7,0.50,Partidos,https://fbref.com/es/jugadores/9e1035f8/Ferran-Torres
Eric García,es ESP,"CC,DF",23-346,10,4,525,5.8,0,0.00,0,0.00,1,1,0.17,1,0.17,0,0.00,0,0.00,0,0,0,0,0.6,0.10,0.6,0.10,0.6,0.10,0.6,0.10,0.4,0.06,0.4,0.06,0.9,0.16,0.9,0.16,9,36,5,0,0.00,0,0.00,0.17,1,0.17,1,0.17,0,0.00,0,0.00,0.17,0.6,0.10,0.6,0.10,0.4,0.06,0.4,0.06,0.16,0.6,0.10,0.6,0.10,0.9,0.16,0.9,0.16,Partidos,https://fbref.com/es/jugadores/2bed3eab/Eric-Garcia
Gerard Martín,es ESP,DF,22-354,11,4,390,4.3,0,0.00,0,0.00,1,1,0.23,1,0.23,0,0.00,0,0.00,0,0,2,0,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.4,0.10,0.4,0.10,0.4,0.10,0.4,0.10,6,16,33,0,0.00,0,0.00,0.23,1,0.23,1,0.23,0,0.00,0,0.00,0.23,0.0,0.00,0.0,0.00,0.4,0.10,0.4,0.10,0.10,0.0,0.00,0.0,0.00,0.4,0.10,0.4,0.10,Partidos,https://fbref.com/es/jugadores/b792c59d/Gerard-Martin
Pablo Torre,es ESP,"CC,DL",21-261,7,4,248,2.8,3,1.09,3,1.09,1,4,1.45,4,1.45,3,1.09,3,1.09,0,0,0,0,0.3,0.09,0.3,0.09,0.3,0.09,0.3,0.09,0.5,0.19,0.5,0.19,0.8,0.28,0.8,0.28,5,15,15,3,1.09,3,1.09,0.36,4,1.45,4,1.45,3,1.09,3,1.09,1.45,0.3,0.09,0.3,0.09,0.5,0.19,0.5,0.19,0.28,0.3,0.09,0.3,0.09,0.8,0.28,0.8,0.28,Partidos,https://fbref.com/es/jugadores/04e531b6/Pablo-Torre
Fermin López,es ESP,"CC,DL",21-223,11,3,333,3.7,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,2,0,0.8,0.22,0.8,0.22,0.8,0.22,0.8,0.22,0.4,0.12,0.4,0.12,1.2,0.34,1.2,0.34,10,17,28,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.8,0.22,0.8,0.22,0.4,0.12,0.4,0.12,0.34,0.8,0.22,0.8,0.22,1.2,0.34,1.2,0.34,Partidos,https://fbref.com/es/jugadores/c1fe5f0b/Fermin-Lopez
Marc Bernal,es ESP,CC,17-208,3,3,242,2.7,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,2,0,0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03,0.0,0.01,0.0,0.01,0.1,0.03,0.1,0.03,0,8,2,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.1,0.03,0.1,0.03,0.0,0.01,0.0,0.01,0.03,0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03,Partidos,https://fbref.com/es/jugadores/29117812/Marc-Bernal
Héctor Fort,es ESP,DF,18-140,9,2,275,3.1,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,2,0,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.6,0.20,0.6,0.20,0.7,0.22,0.7,0.22,6,14,14,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.1,0.02,0.1,0.02,0.6,0.20,0.6,0.20,0.22,0.1,0.02,0.1,0.02,0.7,0.22,0.7,0.22,Partidos,https://fbref.com/es/jugadores/2e31f3a6/Hector-Fort
Gavi,es ESP,CC,20-137,9,2,197,2.2,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,0,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.7,0.33,0.7,0.33,0.7,0.33,0.7,0.33,1,12,5,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.0,0.00,0.0,0.00,0.7,0.33,0.7,0.33,0.33,0.0,0.00,0.0,0.00,0.7,0.33,0.7,0.33,Partidos,https://fbref.com/es/jugadores/19cae58d/Gavi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergi Dominguez,es ESP,DF,19-263,3,2,172,1.9,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,0,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0,13,1,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,Partidos,https://fbref.com/es/jugadores/88507352/Sergi-Dominguez
Frenkie de Jong,nl NED,CC,27-222,8,1,235,2.6,1,0.38,1,0.38,1,2,0.77,2,0.77,1,0.38,1,0.38,0,0,1,0,0.2,0.10,0.2,0.10,0.2,0.10,0.2,0.10,1.2,0.46,1.2,0.46,1.5,0.56,1.5,0.56,5,21,6,1,0.38,1,0.38,0.38,2,0.77,2,0.77,1,0.38,1,0.38,0.77,0.2,0.10,0.2,0.10,1.2,0.46,1.2,0.46,0.56,0.2,0.10,0.2,0.10,1.5,0.56,1.5,0.56,Partidos,https://fbref.com/es/jugadores/1bacc518/Frenkie-de-Jong
