Jugador,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sergi Dominguez,es ESP,"DF,FW",19-308,2,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Héctor Fort,es ESP,DF,18-185,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Torre,es ESP,"FW,MF",21-306,2,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,1.74,1.74,1.74,Matches
Andres Cuenca,es ESP,DF,17-237,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ander Astralaga,es ESP,GK,20-337,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andreas Christensen,dk DEN,"DF,MF",28-299,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guillermo Fernandez,es ESP,MF,16-230,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Toni Fernández,es ESP,MF,16-233,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Kochen,us USA,GK,18-321,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Áron Yaakobishvili,hu HUN,GK,18-334,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.2,8,88,720.0,8.0,27.0,20.0,47.0,24.0,3.0,3.0,9.0,1.0,20.4,18.1,14.8,32.8,154.0,424.0,422.0,3.38,2.5,5.87,3.0,5.5,2.55,1.84,4.4,2.26,4.1,
Opponent Total,,,27.0,8,88,720.0,8.0,12.0,9.0,21.0,10.0,2.0,2.0,23.0,1.0,10.7,9.1,7.4,16.5,104.0,224.0,223.0,1.5,1.13,2.62,1.25,2.37,1.33,0.93,2.26,1.14,2.06,
