Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Niklas Süle,de GER,DF,23,16,12,"1,153",12.8,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,9,62,2,0.00,0.08,0.08,0.00,0.08,0.05,0.05,0.11,0.05,0.11,Matches
Lucas Hernández,fr FRA,DF,23,25,12,"1,129",12.5,0,2,2,0,0,0,4,0,0.4,0.4,1.8,2.3,23,56,41,0.00,0.16,0.16,0.00,0.16,0.04,0.15,0.19,0.04,0.19,Matches
Javi Martínez,es ESP,"DF,MF",30,24,10,"1,023",11.4,0,0,0,0,0,0,5,1,0.6,0.6,0.2,0.8,9,68,6,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Joshua Zirkzee,nl NED,FW,18,12,3,318,3.5,4,0,4,4,0,0,0,0,2.4,2.4,0.0,2.5,1,6,26,1.13,0.00,1.13,1.13,1.13,0.72,0.01,0.73,0.72,0.73,Matches
Mickaël Cuisance,fr FRA,MF,19,10,3,317,3.5,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,8,17,15,0.28,0.00,0.28,0.28,0.28,0.17,0.07,0.24,0.17,0.24,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Álvaro Odriozola,es ESP,DF,23,5,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,13,9,33,0.00,0.50,0.50,0.00,0.50,0.00,0.37,0.37,0.00,0.37,Matches
Sven Ulreich,de GER,GK,30,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Renato Sanches,pt POR,MF,21,3,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sarpreet Singh,nz NZL,MF,20,2,1,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,5,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Kwasi Okyere Wriedt,gh GHA,FW,25,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
Oliver Batista-Meier,de GER,MF,18,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Leon Dajaku,de GER,"DF,MF",18,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
