Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
26,Maarten Vandevoordt,Goalkeeper,"Feb 26, 2002 (23)",Belgium,"1,92m",right,"Jul 1, 2024",,"Jun 30, 2029",€8.00m,https://www.transfermarkt.com/maarten-vandevoordt/profil/spieler/486046
1,Péter Gulácsi,Goalkeeper,"May 6, 1990 (34)",Hungary,"1,93m",right,"Jul 1, 2015",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/peter-gulacsi/profil/spieler/57071
25,Leopold Zingerle,Goalkeeper,"Apr 10, 1994 (31)",Germany,"1,82m",right,"Jul 1, 2023",,"Jun 30, 2026",€400k,https://www.transfermarkt.com/leopold-zingerle/profil/spieler/160971
23,Castello Lukeba,Centre-Back,"Dec 17, 2002 (22)","France, Angola","1,84m",left,"Aug 11, 2023",,"Jun 30, 2029",€50.00m,https://www.transfermarkt.com/castello-lukeba/profil/spieler/618472
5,El Chadaille Bitshiabu,Centre-Back,"May 16, 2005 (19)","France, DR Congo","1,96m",left,"Jul 18, 2023",,"Jun 30, 2028",€12.00m,https://www.transfermarkt.com/el-chadaille-bitshiabu/profil/spieler/787912
4,Willi Orbán,Centre-Back,"Nov 3, 1992 (32)","Hungary, Germany","1,86m",right,"Jul 1, 2015",,"Jun 30, 2027",€10.00m,https://www.transfermarkt.com/willi-orban/profil/spieler/93740
16,Lukas Klostermann,Centre-Back,"Jun 3, 1996 (28)",Germany,"1,89m",right,"Aug 22, 2014",,"Jun 30, 2028",€8.00m,https://www.transfermarkt.com/lukas-klostermann/profil/spieler/215599
22,David Raum,Left-Back,"Apr 22, 1998 (27)",Germany,"1,81m",left,"Jul 31, 2022",,"Jun 30, 2027",€25.00m,https://www.transfermarkt.com/david-raum/profil/spieler/318204
3,Lutsharel Geertruida,Right-Back,"Jul 18, 2000 (24)","Netherlands, Curacao","1,84m",right,"Aug 30, 2024",,"Jun 30, 2029",€27.00m,https://www.transfermarkt.com/lutsharel-geertruida/profil/spieler/420210
39,Benjamin Henrichs,Right-Back,"Feb 23, 1997 (28)","Germany, Ghana","1,85m",right,"Jul 1, 2021",,"Jun 30, 2028",€17.00m,https://www.transfermarkt.com/benjamin-henrichs/profil/spieler/202591
21,Kosta Nedeljkovic,Right-Back,"Dec 16, 2005 (19)",Serbia,"1,84m",right,"Feb 3, 2025",,"Jun 30, 2025",€8.50m,https://www.transfermarkt.com/kosta-nedeljkovic/profil/spieler/848682
17,Ridle Baku,Right-Back,"Apr 8, 1998 (27)","Germany, DR Congo","1,76m",right,"Jan 10, 2025",,"Jun 30, 2027",€7.00m,https://www.transfermarkt.com/ridle-baku/profil/spieler/327251
18,Arthur Vermeeren,Defensive Midfield,"Feb 7, 2005 (20)",Belgium,"1,80m",right,"Aug 26, 2024",,"Jun 30, 2025",€22.00m,https://www.transfermarkt.com/arthur-vermeeren/profil/spieler/926694
8,Amadou Haidara,Central Midfield,"Jan 31, 1998 (27)",Mali,"1,78m",right,"Jan 1, 2019",,"Jun 30, 2026",€20.00m,https://www.transfermarkt.com/amadou-haidara/profil/spieler/402008
24,Xaver Schlager,Central Midfield,"Sep 28, 1997 (27)",Austria,"1,74m",left,"Jul 1, 2022",,"Jun 30, 2026",€18.00m,https://www.transfermarkt.com/xaver-schlager/profil/spieler/223979
13,Nicolas Seiwald,Central Midfield,"May 4, 2001 (24)",Austria,"1,80m",right,"Jul 1, 2023",,"Jun 30, 2028",€16.00m,https://www.transfermarkt.com/nicolas-seiwald/profil/spieler/404950
20,Assan Ouédraogo,Central Midfield,"May 9, 2006 (18)","Germany, Burkina Faso","1,91m",right,"Jul 1, 2024",,"Jun 30, 2029",€10.00m,https://www.transfermarkt.com/assan-ouedraogo/profil/spieler/897424
44,Kevin Kampl,Central Midfield,"Oct 9, 1990 (34)",Slovenia,"1,78m",right,"Aug 31, 2017",,"Jun 30, 2026",€3.00m,https://www.transfermarkt.com/kevin-kampl/profil/spieler/53418
10,Xavi Simons,Attacking Midfield,"Apr 21, 2003 (22)","Netherlands, Suriname","1,79m",right,"Jan 30, 2025",,"Jun 30, 2027",€70.00m,https://www.transfermarkt.com/xavi-simons/profil/spieler/566931
14,Christoph Baumgartner,Attacking Midfield,"Aug 1, 1999 (25)",Austria,"1,80m",right,"Jul 1, 2023",,"Jun 30, 2028",€15.00m,https://www.transfermarkt.com/christoph-baumgartner/profil/spieler/324278
47,Viggo Gebel,Attacking Midfield,"Nov 22, 2007 (17)",Germany,"1,75m",,,,-,€350k,https://www.transfermarkt.com/viggo-gebel/profil/spieler/1074526
7,Antonio Nusa,Left Winger,"Apr 17, 2005 (20)","Norway, Nigeria","1,83m",right,"Aug 13, 2024",,"Jun 30, 2029",€28.00m,https://www.transfermarkt.com/antonio-nusa/profil/spieler/894914
27,Tidiam Gomis,Left Winger,"Aug 8, 2006 (18)","France, Senegal","1,83m",right,"Feb 3, 2025",,"Jun 30, 2029",€3.00m,https://www.transfermarkt.com/tidiam-gomis/profil/spieler/955448
