Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
22,Nikola Vasilj,Goalkeeper,"Dec 2, 1995 (29)","Bosnia-Herzegovina, Croatia","1,93m",right,"Jul 1, 2021",,-,€3.00m,https://www.transfermarkt.com/nikola-vasilj/profil/spieler/248454
1,Ben Voll,Goalkeeper,"Dec 9, 2000 (24)",Germany,"1,95m",both,"Jul 1, 2024",,-,€500k,https://www.transfermarkt.com/ben-voll/profil/spieler/453742
32,Eric Oelschlägel,Goalkeeper,"Sep 20, 1995 (29)",Germany,"1,93m",right,"Oct 23, 2024",,-,€300k,https://www.transfermarkt.com/eric-oelschlagel/profil/spieler/152460
30,Sascha Burchert,Goalkeeper,"Oct 30, 1989 (35)",Germany,"1,87m",right,"Aug 8, 2022",,-,€200k,https://www.transfermarkt.com/sascha-burchert/profil/spieler/36898
28,Sören Ahlers,Goalkeeper,"Sep 9, 1997 (27)",Germany,"1,94m",both,"Aug 31, 2021",,-,€50k,https://www.transfermarkt.com/soren-ahlers/profil/spieler/333074
8,Eric Smith,Centre-Back,"Jan 8, 1997 (28)",Sweden,"1,92m",right,"Jul 1, 2021",,-,€5.00m,https://www.transfermarkt.com/eric-smith/profil/spieler/292534
4,David Nemeth,Centre-Back,"Mar 18, 2001 (24)",Austria,"1,91m",both,"Jul 1, 2022",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/david-nemeth/profil/spieler/451906
44,Siebe Van der Heyden,Centre-Back,"May 30, 1998 (26)",Belgium,"1,85m",left,"Jan 30, 2025",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/siebe-van-der-heyden/profil/spieler/400131
5,Hauke Wahl,Centre-Back,"Apr 15, 1994 (31)",Germany,"1,89m",right,"Jul 1, 2023",,-,€1.50m,https://www.transfermarkt.com/hauke-wahl/profil/spieler/154147
3,Karol Mets,Centre-Back,"May 16, 1993 (31)",Estonia,"1,91m",left,"Jul 1, 2023",,"Jun 30, 2026",€1.30m,https://www.transfermarkt.com/karol-mets/profil/spieler/139304
25,Adam Dzwigala,Centre-Back,"Sep 25, 1995 (29)",Poland,"1,85m",right,"Dec 17, 2020",,-,€600k,https://www.transfermarkt.com/adam-dzwigala/profil/spieler/236966
34,Muhammad Dahaba,Centre-Back,"Mar 7, 2005 (20)",Germany,"1,94m",right,"Jul 1, 2024",,-,€125k,https://www.transfermarkt.com/muhammad-dahaba/profil/spieler/914890
23,Philipp Treu,Left-Back,"Dec 3, 2000 (24)",Germany,"1,73m",right,"Jul 1, 2023",,-,€5.00m,https://www.transfermarkt.com/philipp-treu/profil/spieler/335993
21,Lars Ritzka,Left-Back,"May 7, 1998 (26)",Germany,"1,85m",left,"Jul 1, 2021",,-,€900k,https://www.transfermarkt.com/lars-ritzka/profil/spieler/333903
2,Manolis Saliakas,Right-Back,"Sep 12, 1996 (28)",Greece,"1,77m",right,"Jul 1, 2022",,-,€2.80m,https://www.transfermarkt.com/manolis-saliakas/profil/spieler/242661
14,Fin Stevens,Right-Back,"Apr 10, 2003 (22)","Wales, England","1,79m",right,"Jul 26, 2024",,-,€600k,https://www.transfermarkt.com/fin-stevens/profil/spieler/587019
6,James Sands,Defensive Midfield,"Jul 6, 2000 (24)",United States,"1,86m",right,"Jan 1, 2025",,"Jun 30, 2025",€3.00m,https://www.transfermarkt.com/james-sands/profil/spieler/393321
42,Marwin Schmitz,Defensive Midfield,"Jan 7, 2007 (18)",Germany,"1,80m",right,"Jan 16, 2025",,-,€200k,https://www.transfermarkt.com/marwin-schmitz/profil/spieler/1003534
39,Robert Wagner,Central Midfield,"Jul 14, 2003 (21)",Germany,"1,81m",right,"Jul 1, 2024",,"Jun 30, 2025",€3.00m,https://www.transfermarkt.com/robert-wagner/profil/spieler/690429
24,Connor Metcalfe,Central Midfield,"Nov 5, 1999 (25)",Australia,"1,83m",left,"Jul 1, 2022",,-,€2.50m,https://www.transfermarkt.com/connor-metcalfe/profil/spieler/522223
7,Jackson Irvine,Central Midfield,"Mar 7, 1993 (32)","Australia, Scotland","1,89m",right,"Jul 5, 2021",,-,€2.00m,https://www.transfermarkt.com/jackson-irvine/profil/spieler/192557
16,Carlo Boukhalfa,Central Midfield,"May 3, 1999 (26)","Germany, Algeria","1,86m",left,"Jul 1, 2022",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/carlo-boukhalfa/profil/spieler/329373
20,Erik Ahlstrand,Central Midfield,"Oct 14, 2001 (23)",Sweden,"1,84m",,"Jan 27, 2024",,-,€500k,https://www.transfermarkt.com/erik-ahlstrand/profil/spieler/501049
10,Danel Sinani,Attacking Midfield,"Apr 5, 1997 (28)","Luxembourg, Serbia","1,85m",left,"Jul 4, 2023",,-,€750k,https://www.transfermarkt.com/danel-sinani/profil/spieler/346499
13,Noah Weißhaupt,Left Winger,"Sep 20, 2001 (23)",Germany,"1,81m",right,"Jan 2, 2025",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/noah-weisshaupt/profil/spieler/392163
26,Elias Saad,Left Winger,"Dec 27, 1999 (25)","Tunisia, Germany","1,85m",right,"Jan 1, 2023",,-,€4.00m,https://www.transfermarkt.com/elias-saad/profil/spieler/526466
38,Romeo Aigbekaen,Left Winger,"Jun 22, 2004 (20)","Germany, Nigeria","1,89m",both,"Jan 29, 2025",,"Jun 30, 2028",€100k,https://www.transfermarkt.com/romeo-aigbekaen/profil/spieler/795387
17,Oladapo Afolayan,Right Winger,"Sep 11, 1997 (27)","England, Nigeria","1,80m",right,"Jan 19, 2023",,-,€4.00m,https://www.transfermarkt.com/oladapo-afolayan/profil/spieler/487850
29,Morgan Guilavogui,Right Winger,"Mar 10, 1998 (27)","Guinea, France","1,89m",right,"Jul 26, 2024",,"Jun 30, 2025",€4.00m,https://www.transfermarkt.com/morgan-guilavogui/profil/spieler/691786
18,Scott Banks,Right Winger,"Sep 26, 2001 (23)","Scotland, Wales","1,83m",left,"Jul 1, 2024",,-,€500k,https://www.transfermarkt.com/scott-banks/profil/spieler/596821
11,Johannes Eggestein,Centre-Forward,"May 8, 1998 (26)",Germany,"1,83m",right,"Jul 1, 2022",,"Jun 30, 2025",€3.00m,https://www.transfermarkt.com/johannes-eggestein/profil/spieler/251303
9,Abdoulie Ceesay,Centre-Forward,"Jan 5, 2004 (21)",The Gambia,"1,85m",,"Jan 3, 2025",,-,€500k,https://www.transfermarkt.com/abdoulie-ceesay/profil/spieler/1280281
19,Andreas Albers,Centre-Forward,"Mar 23, 1990 (35)",Denmark,"1,93m",right,"Jul 1, 2023",,-,€300k,https://www.transfermarkt.com/andreas-albers/profil/spieler/88647
27,Simon Zoller,Centre-Forward,"Jun 26, 1991 (33)",Germany,"1,79m",right,"Sep 1, 2023",,-,€300k,https://www.transfermarkt.com/simon-zoller/profil/spieler/79967
