Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
33,Moritz Nicolas,Goalkeeper,"Oct 21, 1997 (27)",Germany,"1,93m",right,"Jul 1, 2016",,"Jun 30, 2029",€5.00m,https://www.transfermarkt.com/moritz-nicolas/profil/spieler/284270
1,Jonas Omlin,Goalkeeper,"Jan 10, 1994 (31)",Switzerland,"1,90m",right,"Jan 19, 2023",,"Jun 30, 2027",€2.50m,https://www.transfermarkt.com/jonas-omlin/profil/spieler/247915
21,Tobias Sippel,Goalkeeper,"Mar 22, 1988 (37)",Germany,"1,83m",right,"Jul 1, 2015",,"Jun 30, 2025",€300k,https://www.transfermarkt.com/tobias-sippel/profil/spieler/31653
42,Tiago Pereira Cardoso,Goalkeeper,"Apr 7, 2006 (19)","Luxembourg, Portugal","1,90m",right,"Mar 1, 2025",,-,€300k,https://www.transfermarkt.com/tiago-pereira-cardoso/profil/spieler/926301
3,Ko Itakura,Centre-Back,"Jan 27, 1997 (28)",Japan,"1,88m",right,"Jul 2, 2022",,"Jun 30, 2026",€12.00m,https://www.transfermarkt.com/ko-itakura/profil/spieler/355816
30,Nico Elvedi,Centre-Back,"Sep 30, 1996 (28)",Switzerland,"1,89m",right,"Jul 1, 2015",,"Jun 30, 2027",€8.00m,https://www.transfermarkt.com/nico-elvedi/profil/spieler/192635
5,Marvin Friedrich,Centre-Back,"Dec 13, 1995 (29)",Germany,"1,93m",right,"Jan 11, 2022",,"Jun 30, 2026",€3.50m,https://www.transfermarkt.com/marvin-friedrich/profil/spieler/196231
2,Fabio Chiarodia,Centre-Back,"Jun 5, 2005 (19)","Italy, Germany","1,86m",left,"Jul 1, 2023",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/fabio-chiarodia/profil/spieler/724104
26,Lukas Ullrich,Left-Back,"Mar 16, 2004 (21)",Germany,"1,80m",left,"Jul 1, 2023",,"Jun 30, 2027",€8.00m,https://www.transfermarkt.com/lukas-ullrich/profil/spieler/787151
20,Luca Netz,Left-Back,"May 15, 2003 (21)",Germany,"1,84m",left,"Aug 6, 2021",,"Jun 30, 2026",€7.00m,https://www.transfermarkt.com/luca-netz/profil/spieler/524285
29,Joe Scally,Right-Back,"Dec 31, 2002 (22)",United States,"1,84m",right,"Jan 1, 2021",,"Jun 30, 2027",€10.00m,https://www.transfermarkt.com/joe-scally/profil/spieler/504153
22,Stefan Lainer,Right-Back,"Aug 27, 1992 (32)",Austria,"1,75m",right,"Jul 1, 2019",,"Jun 30, 2026",€1.80m,https://www.transfermarkt.com/stefan-lainer/profil/spieler/85791
8,Julian Weigl,Defensive Midfield,"Sep 8, 1995 (29)",Germany,"1,86m",right,"Jul 1, 2023",,"Jun 30, 2028",€6.00m,https://www.transfermarkt.com/julian-weigl/profil/spieler/196792
39,Niklas Swider,Defensive Midfield,"Jan 5, 2007 (18)",Germany,"1,88m",right,"Dec 17, 2024",,"Jun 30, 2027",-,https://www.transfermarkt.com/niklas-swider/profil/spieler/1009463
27,Rocco Reitz,Central Midfield,"May 29, 2002 (22)",Germany,"1,76m",right,"Jul 1, 2020",,"Jun 30, 2028",€15.00m,https://www.transfermarkt.com/rocco-reitz/profil/spieler/467434
16,Philipp Sander,Central Midfield,"Feb 21, 1998 (27)",Germany,"1,86m",both,"Jul 1, 2024",,"Jun 30, 2028",€4.00m,https://www.transfermarkt.com/philipp-sander/profil/spieler/388409
10,Florian Neuhaus,Central Midfield,"Mar 16, 1997 (28)",Germany,"1,85m",right,"Jul 1, 2017",,"Jun 30, 2027",€3.50m,https://www.transfermarkt.com/florian-neuhaus/profil/spieler/278332
7,Kevin Stöger,Attacking Midfield,"Aug 27, 1993 (31)",Austria,"1,75m",left,"Jul 1, 2024",,"Jun 30, 2027",€4.50m,https://www.transfermarkt.com/kevin-stoger/profil/spieler/106872
25,Robin Hack,Left Winger,"Aug 27, 1998 (26)",Germany,"1,78m",right,"Jul 1, 2023",,"Jun 30, 2029",€10.00m,https://www.transfermarkt.com/robin-hack/profil/spieler/284010
