Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Finn Dahmen,Goalkeeper,"Mar 27, 1998 (27)","Germany, England","1,86m",right,"Jul 1, 2023",,"Jun 30, 2027",€6.00m,https://www.transfermarkt.com/finn-dahmen/profil/spieler/251299
22,Nediljko Labrovic,Goalkeeper,"Oct 10, 1999 (25)",Croatia,"1,96m",right,"Jul 1, 2024",,"Jun 30, 2029",€3.00m,https://www.transfermarkt.com/nediljko-labrovic/profil/spieler/610190
25,Daniel Klein,Goalkeeper,"Mar 13, 2001 (24)",Germany,"1,93m",right,"Jul 2, 2021",,"Jun 30, 2026",€150k,https://www.transfermarkt.com/daniel-klein/profil/spieler/392124
5,Chrislain Matsima,Centre-Back,"May 15, 2002 (22)","France, Congo","1,93m",right,"Aug 30, 2024",,"Jun 30, 2025",€17.00m,https://www.transfermarkt.com/chrislain-matsima/profil/spieler/569383
31,Keven Schlotterbeck,Centre-Back,"Apr 28, 1997 (28)",Germany,"1,88m",left,"Jul 1, 2024",,"Jun 30, 2027",€7.00m,https://www.transfermarkt.com/keven-schlotterbeck/profil/spieler/413843
40,Noahkai Banks,Centre-Back,"Dec 1, 2006 (18)","United States, Germany","1,93m",right,"Jul 10, 2024",,"Jun 30, 2027",€6.00m,https://www.transfermarkt.com/noahkai-banks/profil/spieler/923945
16,Cédric Zesiger,Centre-Back,"Jun 24, 1998 (26)",Switzerland,"1,94m",left,"Jan 14, 2025",,"Jun 30, 2025",€5.50m,https://www.transfermarkt.com/cedric-zesiger/profil/spieler/382478
6,Jeffrey Gouweleeuw,Centre-Back,"Jul 10, 1991 (33)",Netherlands,"1,88m",right,"Jan 9, 2016",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/jeffrey-gouweleeuw/profil/spieler/106405
4,Reece Oxford,Centre-Back,"Dec 16, 1998 (26)","England, Jamaica","1,90m",right,"Aug 2, 2019",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/reece-oxford/profil/spieler/314295
13,Dimitrios Giannoulis,Left-Back,"Oct 17, 1995 (29)",Greece,"1,78m",left,"Jul 23, 2024",,"Jun 30, 2028",€2.80m,https://www.transfermarkt.com/dimitrios-giannoulis/profil/spieler/295630
3,Mads Pedersen,Left-Back,"Sep 1, 1996 (28)",Denmark,"1,78m",left,"Jul 1, 2019",,"Jun 30, 2027",€2.50m,https://www.transfermarkt.com/mads-pedersen/profil/spieler/288429
11,Marius Wolf,Right-Back,"May 27, 1995 (29)",Germany,"1,88m",right,"Aug 8, 2024",,"Jun 30, 2027",€3.00m,https://www.transfermarkt.com/marius-wolf/profil/spieler/193900
2,Robert Gumny,Right-Back,"Jun 4, 1998 (26)",Poland,"1,82m",right,"Sep 2, 2020",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/robert-gumny/profil/spieler/353826
44,Henri Koudossou,Right-Back,"Sep 3, 1999 (25)","Germany, Togo","1,80m",both,"Jul 1, 2022",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/henri-koudossou/profil/spieler/515624
17,Kristijan Jakic,Defensive Midfield,"May 14, 1997 (27)",Croatia,"1,84m",right,"Jul 1, 2024",,"Jun 30, 2028",€6.50m,https://www.transfermarkt.com/kristijan-jakic/profil/spieler/374954
42,Mahmut Kücüksahin,Defensive Midfield,"Apr 7, 2004 (21)","Türkiye, Germany","1,82m",right,"Jul 17, 2024",,"Jun 30, 2027",€175k,https://www.transfermarkt.com/mahmut-kucuksahin/profil/spieler/730486
19,Frank Onyeka,Central Midfield,"Jan 1, 1998 (27)",Nigeria,"1,83m",right,"Aug 30, 2024",,"Jun 30, 2025",€7.00m,https://www.transfermarkt.com/frank-onyeka/profil/spieler/421637
10,Arne Maier,Central Midfield,"Jan 8, 1999 (26)",Germany,"1,86m",right,"Jul 1, 2022",,"Jun 30, 2026",€4.00m,https://www.transfermarkt.com/arne-maier/profil/spieler/296397
8,Elvis Rexhbecaj,Central Midfield,"Nov 1, 1997 (27)","Kosovo, Germany","1,82m",left,"Jul 27, 2022",,"Jun 30, 2026",€3.50m,https://www.transfermarkt.com/elvis-rexhbecaj/profil/spieler/280575
20,Alexis Claude-Maurice,Attacking Midfield,"Jun 6, 1998 (26)","France, Guadeloupe","1,76m",right,"Aug 30, 2024",,"Jun 30, 2027",€12.00m,https://www.transfermarkt.com/alexis-claude-maurice/profil/spieler/384593
36,Mert Kömür,Attacking Midfield,"Jul 17, 2005 (19)","Germany, Türkiye","1,83m",both,"Jul 1, 2023",,"Jun 30, 2027",€5.00m,https://www.transfermarkt.com/mert-komur/profil/spieler/777005
24,Fredrik Jensen,Attacking Midfield,"Sep 9, 1997 (27)",Finland,"1,83m",right,"Jul 1, 2018",,"Jun 30, 2025",€3.50m,https://www.transfermarkt.com/fredrik-jensen/profil/spieler/249157
7,Yusuf Kabadayi,Left Winger,"Feb 2, 2004 (21)","Germany, Türkiye","1,86m",right,"Jul 4, 2024",,"Jun 30, 2028",€1.50m,https://www.transfermarkt.com/yusuf-kabadayi/profil/spieler/604359
21,Phillip Tietz,Centre-Forward,"Jul 9, 1997 (27)",Germany,"1,90m",right,"Jul 12, 2023",,"Jun 30, 2027",€5.00m,https://www.transfermarkt.com/phillip-tietz/profil/spieler/288340
37,Mergim Berisha,Centre-Forward,"May 11, 1998 (26)",Germany,"1,88m",right,"Jan 28, 2025",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/mergim-berisha/profil/spieler/307924
9,Samuel Essende,Centre-Forward,"Jan 23, 1998 (27)","DR Congo, France","1,93m",right,"Jul 1, 2024",,"Jun 30, 2028",€4.50m,https://www.transfermarkt.com/samuel-essende/profil/spieler/395522
15,Steve Mounié,Centre-Forward,"Sep 29, 1994 (30)","Benin, France","1,89m",right,"Jul 5, 2024",,"Jun 30, 2027",€3.00m,https://www.transfermarkt.com/steve-mounie/profil/spieler/238639
