Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Uğurcan Çakır,trTUR,PO,29-025,31,31,"2,790",31.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,39.0,1.26,133.0,105.0,76.7,12.0,9.0,10.0,13.0,41.9,8.0,8.0,8.0,8.0,1.0,27.3,90,96.9,90,31,0,,0,1.45,52,39,+13,+0.42,+0.42,0,1,11,0,0,1,1,,,/es/jugadores/f63a8347/Ugurcan-Cakir
Pedro Malheiro,ptPOR,DF,24-099,29,29,"2,561",28.5,4,4,8,4,0,0,8,0,0.14,0.14,0.28,0.14,0.28,Partidos,20,6,30.0,0.70,0.21,0.20,0.67,,,,,,,,,,,,,,,,,,88,88.9,88,26,0,,0,1.45,45,34,+11,+0.39,-0.18,0,37,9,2,78,35,48,,,/es/jugadores/73794ac1/Pedro-Malheiro
Batista Mendy,frFRA,"CC,DF",25-108,28,27,"2,380",26.4,1,2,3,1,0,0,8,1,0.04,0.08,0.11,0.04,0.11,Partidos,23,6,26.1,0.86,0.22,0.04,0.17,,,,,,,,,,,,,,,,,,83,83.5,86,19,2,36,1,1.38,48,35,+13,+0.49,+0.49,1,39,44,0,12,25,14,,,/es/jugadores/e472a6f6/Batista-Mendy
Simon Banza,cdCOD,DL,28-260,27,27,"2,308",25.6,19,4,23,14,5,6,5,0,0.74,0.16,0.90,0.55,0.70,Partidos,69,34,49.3,2.59,1.28,0.20,0.41,,,,,,,,,,,,,,,,,,86,83.3,86,20,0,,0,1.50,47,34,+13,+0.49,+0.49,0,58,44,7,5,10,6,,,/es/jugadores/be47b750/Simon-Banza
Edin Višća,baBIH,CC,35-072,26,23,"1,943",21.6,4,6,10,4,0,0,2,1,0.19,0.28,0.46,0.19,0.46,Partidos,54,9,16.7,2.49,0.41,0.07,0.44,,,,,,,,,,,,,,,,,,72,67.8,81,8,4,23,0,1.48,37,27,+10,+0.46,+0.17,0,13,22,4,152,22,20,,,/es/jugadores/da1185fc/Edin-Visca
John Lundstram,engENG,"CC,DF",31-071,28,19,"1,891",21.0,2,0,2,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Partidos,21,3,14.3,0.95,0.14,0.10,0.67,,,,,,,,,,,,,,,,,,68,68.8,86,18,9,28,1,1.28,34,27,+7,+0.32,-0.28,0,21,4,1,4,20,26,,,/es/jugadores/0df2b165/John-Lundstram
Evren Eren Elmalı,trTUR,DF,24-297,18,17,"1,515",16.8,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Partidos,8,0,0.0,0.48,0.00,0.00,,,,,,,,,,,,,,,,,,,84,52.6,88,8,1,26,2,1.22,27,19,+8,+0.48,+0.15,0,2,18,2,27,16,21,,,/es/jugadores/8eeb8ba4/Evren-Eren-Elmali
Ozan Tufan,trTUR,CC,30-038,26,16,"1,521",16.9,4,2,6,4,0,0,3,0,0.24,0.12,0.36,0.24,0.36,Partidos,26,14,53.8,1.48,0.79,0.15,0.29,,,,,,,,,,,,,,,,,,59,55.0,76,4,10,29,4,1.41,30,21,+9,+0.51,+0.23,0,27,12,0,12,10,15,,,/es/jugadores/17d45fb2/Ozan-Tufan
Arsenii Batahov,uaUKR,DF,23-056,16,16,"1,440",16.0,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Partidos,8,1,12.5,0.47,0.06,0.13,1.00,,,,,,,,,,,,,,,,,,90,53.1,90,17,0,,6,1.76,35,17,+18,+1.06,+1.39,0,10,2,1,1,30,15,,,/es/jugadores/38eb1b19/Arsenii-Batahov
Okay Yokuşlu,trTUR,"CC,DF",31-052,18,15,"1,219",13.5,1,1,2,1,0,0,5,0,0.07,0.07,0.15,0.07,0.15,Partidos,12,3,25.0,0.83,0.21,0.08,0.33,,,,,,,,,,,,,,,,,,69,45.5,80,11,3,11,3,1.37,16,27,-11,-0.76,-2.13,0,20,19,2,2,24,22,,,/es/jugadores/e49ce451/Okay-Yokuslu
