nombre,link,plantilla,edad_promedio,extranjeros,valor_mercado,valor_total
Manchester City,/manchester-city/kader/verein/281/saison_id/2024/plus/1,,28,26.8,€46.61m,€1.31bn
Arsenal FC,/fc-arsenal/kader/verein/11/saison_id/2024/plus/1,,24,26.9,€46.96m,€1.13bn
Liverpool FC,/fc-liverpool/kader/verein/31/saison_id/2024/plus/1,,25,26.7,€39.74m,€993.50m
Chelsea FC,/fc-chelsea/kader/verein/631/saison_id/2024/plus/1,,30,23.7,€30.73m,€922.00m
Tottenham Hotspur,/tottenham-hotspur/kader/verein/148/saison_id/2024/plus/1,,30,25.6,€27.87m,€836.10m
Manchester United,/manchester-united/kader/verein/985/saison_id/2024/plus/1,,27,26.1,€25.90m,€699.25m
Newcastle United,/newcastle-united/kader/verein/762/saison_id/2024/plus/1,,27,28.8,€23.52m,€635.00m
Aston Villa,/aston-villa/kader/verein/405/saison_id/2024/plus/1,,24,27.7,€26.15m,€627.50m
Brighton & Hove Albion,/brighton-amp-hove-albion/kader/verein/1237/saison_id/2024/plus/1,,28,26.3,€19.84m,€555.60m
West Ham United,/west-ham-united/kader/verein/379/saison_id/2024/plus/1,,27,28.5,€16.83m,€454.30m
Nottingham Forest,/nottingham-forest/kader/verein/703/saison_id/2024/plus/1,,24,27.2,€18.63m,€447.18m
Crystal Palace,/crystal-palace/kader/verein/873/saison_id/2024/plus/1,,27,26.2,€16.33m,€441.00m
AFC Bournemouth,/afc-bournemouth/kader/verein/989/saison_id/2024/plus/1,,25,25.0,€17.41m,€435.35m
Brentford FC,/fc-brentford/kader/verein/1148/saison_id/2024/plus/1,,26,25.4,€16.04m,€417.10m
Wolverhampton Wanderers,/wolverhampton-wanderers/kader/verein/543/saison_id/2024/plus/1,,31,26.4,€13.19m,€408.80m
Everton FC,/fc-everton/kader/verein/29/saison_id/2024/plus/1,,25,28.0,€14.60m,€365.10m
Fulham FC,/fc-fulham/kader/verein/931/saison_id/2024/plus/1,,26,28.1,€13.95m,€362.60m
Ipswich Town,/ipswich-town/kader/verein/677/saison_id/2024/plus/1,,29,27.0,€9.64m,€279.60m
Southampton FC,/fc-southampton/kader/verein/180/saison_id/2024/plus/1,,31,26.1,€8.83m,€273.60m
Leicester City,/leicester-city/kader/verein/1003/saison_id/2024/plus/1,,29,26.9,€9.42m,€273.30m
