Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Bernd Leno,Goalkeeper,"Mar 4, 1992 (33)",Germany,"1,90m",right,"Aug 2, 2022",,"Jun 30, 2027",€11.00m,https://www.transfermarkt.com/bernd-leno/profil/spieler/72476
23,Steven Benda,Goalkeeper,"Oct 1, 1998 (26)",Germany,"1,92m",right,"Aug 30, 2023",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/steven-benda/profil/spieler/381469
5,Joachim Andersen,Centre-Back,"May 31, 1996 (28)",Denmark,"1,92m",right,"Aug 23, 2024",,"Jun 30, 2029",€32.00m,https://www.transfermarkt.com/joachim-andersen/profil/spieler/260827
3,Calvin Bassey,Centre-Back,"Dec 31, 1999 (25)","Nigeria, England","1,85m",left,"Jul 28, 2023",,"Jun 30, 2027",€25.00m,https://www.transfermarkt.com/calvin-bassey/profil/spieler/461883
31,Issa Diop,Centre-Back,"Jan 9, 1997 (28)","France, Senegal","1,94m",right,"Aug 10, 2022",,"Jun 30, 2027",€16.00m,https://www.transfermarkt.com/issa-diop/profil/spieler/272622
15,Jorge Cuenca,Centre-Back,"Nov 17, 1999 (25)",Spain,"1,90m",left,"Aug 3, 2024",,"Jun 30, 2028",€6.00m,https://www.transfermarkt.com/jorge-cuenca/profil/spieler/494880
33,Antonee Robinson,Left-Back,"Aug 8, 1997 (27)","United States, England","1,83m",left,"Aug 20, 2020",,"Jun 30, 2028",€35.00m,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701
30,Ryan Sessegnon,Left-Back,"May 18, 2000 (24)",England,"1,78m",left,"Jul 26, 2024",,"Jun 30, 2026",€9.00m,https://www.transfermarkt.com/ryan-sessegnon/profil/spieler/392775
2,Kenny Tete,Right-Back,"Oct 9, 1995 (29)","Netherlands, Mozambique","1,80m",right,"Sep 10, 2020",,"Jun 30, 2025",€15.00m,https://www.transfermarkt.com/kenny-tete/profil/spieler/206746
21,Timothy Castagne,Right-Back,"Dec 5, 1995 (29)",Belgium,"1,85m",right,"Aug 29, 2023",,"Jun 30, 2027",€15.00m,https://www.transfermarkt.com/timothy-castagne/profil/spieler/262226
16,Sander Berge,Defensive Midfield,"Feb 14, 1998 (27)",Norway,"1,95m",right,"Aug 22, 2024",,"Jun 30, 2029",€25.00m,https://www.transfermarkt.com/sander-berge/profil/spieler/333014
20,Saša Lukić,Central Midfield,"Aug 13, 1996 (28)",Serbia,"1,82m",right,"Jan 31, 2023",,"Jun 30, 2027",€10.00m,https://www.transfermarkt.com/sasa-lukic/profil/spieler/245056
6,Harrison Reed,Central Midfield,"Jan 27, 1995 (30)",England,"1,81m",right,"Aug 30, 2020",,"Jun 30, 2027",€7.00m,https://www.transfermarkt.com/harrison-reed/profil/spieler/226973
10,Tom Cairney,Central Midfield,"Jan 20, 1991 (34)","Scotland, England","1,85m",left,"Jul 1, 2015",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/tom-cairney/profil/spieler/123275
24,Josh King,Central Midfield,"Jan 3, 2007 (18)",England,"1,73m",right,"Jul 1, 2024",,-,€1.00m,https://www.transfermarkt.com/josh-king/profil/spieler/1011131
32,Emile Smith Rowe,Attacking Midfield,"Jul 28, 2000 (24)",England,"1,82m",right,"Aug 2, 2024",,"Jun 30, 2029",€32.00m,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765
18,Andreas Pereira,Attacking Midfield,"Jan 1, 1996 (29)","Brazil, Belgium","1,78m",right,"Jul 11, 2022",,"Jun 30, 2026",€20.00m,https://www.transfermarkt.com/andreas-pereira/profil/spieler/203394
17,Alex Iwobi,Left Winger,"May 3, 1996 (29)","Nigeria, England","1,83m",right,"Sep 1, 2023",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
22,Willian,Left Winger,"Aug 9, 1988 (36)",Brazil,"1,75m",right,"Feb 6, 2025",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/willian/profil/spieler/52769
47,Martial Godo,Left Winger,"Mar 14, 2003 (22)","England, Cote d'Ivoire","1,69m",right,"Jan 1, 2025",,"Jun 30, 2028",€600k,https://www.transfermarkt.com/martial-godo/profil/spieler/992686
19,Reiss Nelson,Right Winger,"Dec 10, 1999 (25)","England, Jamaica","1,75m",right,"Aug 30, 2024",,"Jun 30, 2025",€18.00m,https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325
8,Harry Wilson,Right Winger,"Mar 22, 1997 (28)","Wales, England","1,73m",left,"Jul 24, 2021",,"Jun 30, 2026",€17.00m,https://www.transfermarkt.com/harry-wilson/profil/spieler/279455
11,Adama Traoré,Right Winger,"Jan 25, 1996 (29)","Spain, Mali","1,78m",right,"Aug 12, 2023",,"Jun 30, 2025",€10.00m,https://www.transfermarkt.com/adama-traore/profil/spieler/204103
9,Rodrigo Muniz,Centre-Forward,"May 4, 2001 (24)",Brazil,"1,86m",right,"Aug 20, 2021",,"Jun 30, 2026",€20.00m,https://www.transfermarkt.com/rodrigo-muniz/profil/spieler/735571
7,Raúl Jiménez,Centre-Forward,"May 5, 1991 (33)",Mexico,"1,87m",right,"Jul 25, 2023",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
12,Carlos Vinícius,Centre-Forward,"Mar 25, 1995 (30)",Brazil,"1,90m",left,"Sep 1, 2022",,"Jun 30, 2025",€4.00m,https://www.transfermarkt.com/carlos-vinicius/profil/spieler/525287
