Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Arijanet Muric,Goalkeeper,"Nov 7, 1998 (26)","Kosovo, Montenegro","1,98m",right,"Jul 17, 2024",,"Jun 30, 2028",€6.00m,https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021
28,Christian Walton,Goalkeeper,"Nov 9, 1995 (29)",England,"1,95m",left,"Jan 19, 2022",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/christian-walton/profil/spieler/208379
31,Alex Palmer,Goalkeeper,"Aug 10, 1996 (28)",England,"1,91m",right,"Feb 3, 2025",,"Jun 30, 2028",€1.20m,https://www.transfermarkt.com/alex-palmer/profil/spieler/245625
13,Cieran Slicker,Goalkeeper,"Sep 15, 2002 (22)","Scotland, England",-,,"Jul 8, 2023",,"Jun 30, 2028",€300k,https://www.transfermarkt.com/cieran-slicker/profil/spieler/621997
24,Jacob Greaves,Centre-Back,"Sep 12, 2000 (24)",England,"1,93m",left,"Jul 12, 2024",,"Jun 30, 2029",€20.00m,https://www.transfermarkt.com/jacob-greaves/profil/spieler/693095
26,Dara O'Shea,Centre-Back,"Mar 4, 1999 (26)",Ireland,"1,89m",right,"Aug 25, 2024",,"Jun 30, 2029",€14.00m,https://www.transfermarkt.com/dara-oshea/profil/spieler/401320
44,Ben Godfrey,Centre-Back,"Jan 15, 1998 (27)","England, Jamaica","1,84m",right,"Jan 5, 2025",,"Jun 30, 2025",€8.00m,https://www.transfermarkt.com/ben-godfrey/profil/spieler/343475
15,Cameron Burgess,Centre-Back,"Oct 21, 1995 (29)","Australia, Scotland","1,94m",left,"Aug 15, 2021",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/cameron-burgess/profil/spieler/255788
6,Luke Woolfenden,Centre-Back,"Oct 21, 1998 (26)",England,"1,93m",right,"Jul 1, 2017",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/luke-woolfenden/profil/spieler/527425
3,Leif Davis,Left-Back,"Dec 31, 1999 (25)",England,"1,82m",left,"Jul 25, 2022",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/leif-davis/profil/spieler/596446
22,Conor Townsend,Left-Back,"Mar 4, 1993 (32)",England,"1,83m",left,"Aug 1, 2024",,"Jun 30, 2026",€1.20m,https://www.transfermarkt.com/conor-townsend/profil/spieler/146509
18,Ben Johnson,Right-Back,"Jan 24, 2000 (25)",England,"1,84m",right,"Jul 1, 2024",,"Jun 30, 2028",€9.00m,https://www.transfermarkt.com/ben-johnson/profil/spieler/468002
40,Axel Tuanzebe,Right-Back,"Nov 14, 1997 (27)","DR Congo, England","1,85m",right,"Sep 8, 2023",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046
8,Kalvin Phillips,Defensive Midfield,"Dec 2, 1995 (29)","England, Jamaica","1,79m",right,"Aug 16, 2024",,"Jun 30, 2025",€15.00m,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749
12,Jens Cajuste,Defensive Midfield,"Aug 10, 1999 (25)","Sweden, United States","1,88m",right,"Aug 19, 2024",,"Jun 30, 2025",€12.00m,https://www.transfermarkt.com/jens-cajuste/profil/spieler/468066
14,Jack Taylor,Central Midfield,"Jun 23, 1998 (26)","Ireland, England","1,85m",right,"Jul 1, 2023",,"Jun 30, 2026",€3.00m,https://www.transfermarkt.com/jack-taylor/profil/spieler/458178
5,Sam Morsy,Central Midfield,"Sep 10, 1991 (33)","Egypt, England","1,75m",right,"Aug 31, 2021",,"Jun 30, 2026",€900k,https://www.transfermarkt.com/sam-morsy/profil/spieler/123551
25,Massimo Luongo,Central Midfield,"Sep 25, 1992 (32)","Australia, Italy","1,76m",right,"Jan 5, 2023",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/massimo-luongo/profil/spieler/181687
9,Julio Enciso,Attacking Midfield,"Jan 23, 2004 (21)",Paraguay,"1,73m",right,"Jan 23, 2025",,"Jun 30, 2025",€22.00m,https://www.transfermarkt.com/julio-enciso/profil/spieler/660867
20,Omari Hutchinson,Attacking Midfield,"Oct 30, 2003 (21)","England, Jamaica","1,74m",left,"Jul 1, 2024",,"Jun 30, 2029",€22.00m,https://www.transfermarkt.com/omari-hutchinson/profil/spieler/741238
23,Sammie Szmodics,Attacking Midfield,"Sep 24, 1995 (29)","Ireland, Hungary","1,68m",right,"Aug 16, 2024",,"Jun 30, 2028",€12.00m,https://www.transfermarkt.com/sammie-szmodics/profil/spieler/292139
29,Jaden Philogene,Left Winger,"Feb 8, 2002 (23)","England, Dominica","1,81m",right,"Jan 15, 2025",,"Jun 30, 2029",€18.00m,https://www.transfermarkt.com/jaden-philogene/profil/spieler/665390
47,Jack Clarke,Left Winger,"Nov 23, 2000 (24)",England,"1,81m",right,"Aug 24, 2024",,"Jun 30, 2029",€15.00m,https://www.transfermarkt.com/jack-clarke/profil/spieler/559794
33,Nathan Broadhead,Left Winger,"Apr 5, 1998 (27)",Wales,"1,78m",right,"Jan 9, 2023",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/nathan-broadhead/profil/spieler/344009
21,Chiedozie Ogbene,Right Winger,"May 1, 1997 (28)","Ireland, Nigeria","1,81m",right,"Aug 28, 2024",,"Jun 30, 2028",€8.00m,https://www.transfermarkt.com/chiedozie-ogbene/profil/spieler/392591
7,Wes Burns,Right Winger,"Nov 23, 1994 (30)",Wales,"1,73m",right,"Jul 1, 2021",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/wes-burns/profil/spieler/255731
10,Conor Chaplin,Second Striker,"Feb 16, 1997 (28)",England,"1,68m",left,"Jul 27, 2021",,"Jun 30, 2026",€8.00m,https://www.transfermarkt.com/conor-chaplin/profil/spieler/349503
19,Liam Delap,Centre-Forward,"Feb 8, 2003 (22)","England, Ireland","1,86m",right,"Jul 13, 2024",,"Jun 30, 2029",€35.00m,https://www.transfermarkt.com/liam-delap/profil/spieler/610849
27,George Hirst,Centre-Forward,"Feb 15, 1999 (26)","Scotland, England","1,91m",right,"Jul 13, 2023",,"Jun 30, 2027",€5.00m,https://www.transfermarkt.com/george-hirst/profil/spieler/420808
