Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Jacob Brown,"€ 35,579","€ 1,850,114",,"Jun 30, 2027",3,"€ 5,550,342",
Marvelous Nakamba,"€ 35,579","€ 1,850,114",,"Jun 30, 2026",2,"€ 3,700,228",
Tahith Chong,"€ 35,579","€ 1,850,114",,"Jun 30, 2025",1,"€ 1,850,114",
Alfie Doughty,"€ 32,614","€ 1,695,938",,"Jun 30, 2025",1,"€ 1,695,938",
Thomas Kaminski,"€ 29,649","€ 1,541,762",,"Jun 30, 2025",1,"€ 1,541,762",
Victor Moses,"€ 29,649","€ 1,541,762",,"Jun 30, 2025",1,"€ 1,541,762",
Shandon Baptiste,"€ 29,649","€ 1,541,762",,"Jun 30, 2025",1,"€ 1,541,762",
Tim Krul,"€ 29,649","€ 1,541,762",,"Jun 30, 2025",1,"€ 1,541,762",
Mark McGuinness,"€ 23,719","€ 1,233,409",,"Jun 30, 2025",1,"€ 1,233,409",
Isaiah Jones,"€ 23,719","€ 1,233,409",,"Jun 30, 2025",1,"€ 1,233,409",
Tom Lockyer,"€ 23,719","€ 1,233,409",,"Jun 30, 2025",1,"€ 1,233,409",
Josh Bowler,"€ 17,790","€ 925,057",,"May 31, 2025",1,"€ 925,057",
Kal Naismith,"€ 17,790","€ 925,057",,"May 31, 2025",1,"€ 925,057",
Mads Juel Andersen,"€ 17,790","€ 925,057",,"Jun 30, 2025",1,"€ 925,057",
Daiki Hashioka,"€ 17,790","€ 925,057",,"Jun 30, 2025",1,"€ 925,057",
Liam Walsh,"€ 14,825","€ 770,881",,"Jun 30, 2026",2,"€ 1,541,762",
Elijah Adebayo,"€ 14,825","€ 770,881",,"Jun 30, 2025",1,"€ 770,881",
Reece Burke,"€ 14,825","€ 770,881",,"Jun 30, 2025",1,"€ 770,881",
Teden Mengi,"€ 11,860","€ 616,705",,"Jun 30, 2025",1,"€ 616,705",
Amari'i Bell,"€ 11,860","€ 616,705",,"Jun 30, 2025",1,"€ 616,705",
Carlton Morris,"€ 11,860","€ 616,705",,"Jun 30, 2025",1,"€ 616,705",
Thelo Aasgaard,"€ 10,081","€ 524,199",,"Jun 30, 2025",1,"€ 524,199",
Lasse Nordås,"€ 8,895","€ 462,528",,"Jun 30, 2025",1,"€ 462,528",
Millenic Alli,"€ 8,895","€ 462,528",,"Jun 30, 2025",1,"€ 462,528",
James Shea,"€ 8,895","€ 462,528",,"Jun 30, 2025",1,"€ 462,528",
Jordan Clark,"€ 5,930","€ 308,352",,"Jun 30, 2025",1,"€ 308,352",
Lamine Fanne,"€ 5,930","€ 308,352",,"Jun 30, 2029",5,"€ 1,541,762",
Reuell Walters,"€ 5,930","€ 308,352",,"Jun 30, 2025",1,"€ 308,352",
Christ Makosso,"€ 2,965","€ 154,176",,"Jun 30, 2029",5,"€ 770,881",
Zack Nelson,"€ 1,779","€ 92,506",,"Jun 30, 2025",1,"€ 92,506",
Joe Johnson,"€ 1,779","€ 92,506",,"Jun 30, 2025",1,"€ 92,506",
