Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Fernando Muslera,uyURU,PO,38-318,30,30,"2,700",30.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,31.0,1.0,96.0,72.0,74.0,25.0,5.0,1.0,10.0,32.3,6.0,6.0,6.0,6.0,0.0,14.3,90,96.9,90,31,0,,0,2.58,79,31,+48,+1.55,-1.45,0,0,8,1,0,2,0,,,/es/jugadores/a2abe631/Fernando-Muslera
Abdülkerim Bardakcı,trTUR,DF,30-235,29,29,"2,504",27.8,2,2,4,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Partidos,15,7,46.7,0.52,0.24,0.13,0.29,,,,,,,,,,,,,,,,,,86,90.1,86,26,0,,0,2.57,73,28,+45,+1.56,-0.33,0,25,19,2,19,49,23,,,/es/jugadores/5d9cff53/Abdulkerim-Bardakci
Lucas Torreira,uyURU,CC,29-078,29,29,"2,487",27.6,3,4,7,3,0,0,4,0,0.11,0.14,0.25,0.11,0.25,Partidos,25,9,36.0,0.87,0.31,0.16,0.44,,,,,,,,,,,,,,,,,,86,89.3,86,14,0,,1,2.63,72,25,+47,+1.64,+0.48,0,38,39,0,9,32,45,,,/es/jugadores/52611641/Lucas-Torreira
Barış Alper Yılmaz,trTUR,CC,24-342,29,26,"2,348",26.1,10,3,13,10,0,0,8,0,0.38,0.11,0.50,0.38,0.50,Partidos,70,29,41.4,2.58,1.07,0.16,0.38,,,,,,,,,,,,,,,,,,81,84.7,87,10,3,31,0,2.57,66,27,+39,+1.44,-1.00,0,63,48,4,100,20,25,,,/es/jugadores/414b2ce4/Baris-Alper-Yilmaz
Davinson Sánchez,coCOL,DF,28-322,26,26,"2,288",25.4,3,1,4,3,0,0,7,0,0.12,0.04,0.16,0.12,0.16,Partidos,21,7,33.3,0.80,0.27,0.14,0.43,,,,,,,,,,,,,,,,,,87,81.8,87,23,0,,2,2.59,64,22,+42,+1.60,+0.05,0,22,18,0,2,43,43,,,/es/jugadores/da7b447d/Davinson-Sanchez
Gabriel Sara,brBRA,CC,25-308,28,26,"2,193",24.4,2,6,8,2,0,0,3,0,0.08,0.25,0.33,0.08,0.33,Partidos,51,11,21.6,2.07,0.45,0.04,0.18,,,,,,,,,,,,,,,,,,76,76.9,83,11,3,22,0,2.62,62,22,+40,+1.63,+0.14,0,17,29,1,143,17,13,,,/es/jugadores/135d500d/Gabriel-Sara
Victor Osimhen,ngNGA,DL,26-122,26,24,"2,036",22.6,22,5,27,16,6,6,3,0,0.97,0.22,1.19,0.71,0.93,Partidos,124,51,41.1,5.30,2.18,0.15,0.35,,,,,,,,,,,,,,,,,,78,73.1,83,11,2,15,0,2.52,58,18,+40,+1.71,+0.43,0,25,42,38,13,7,5,,,/es/jugadores/8c90fd7a/Victor-Osimhen
Yunus Akgün,trTUR,CC,24-297,27,22,"1,833",20.4,7,9,16,7,0,0,4,0,0.34,0.44,0.79,0.34,0.79,Partidos,46,19,41.3,2.15,0.89,0.15,0.37,,,,,,,,,,,,,,,,,,69,66.8,80,8,5,19,0,2.61,60,17,+43,+2.01,+1.26,0,16,10,4,40,13,10,,,/es/jugadores/1453e3cf/Yunus-Akgun
Dries Mertens,beBEL,CC,37-359,30,21,"1,699",18.9,4,7,11,4,0,0,2,0,0.21,0.37,0.58,0.21,0.58,Partidos,40,20,50.0,2.09,1.05,0.10,0.20,,,,,,,,,,,,,,,,,,55,59.7,74,3,10,16,1,2.58,45,19,+26,+1.36,-0.58,0,24,26,1,156,8,22,,,/es/jugadores/89b2c8a9/Dries-Mertens
Kaan Ayhan,trTUR,"DF,CC",30-171,25,17,"1,504",16.7,0,2,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Partidos,12,4,33.3,0.71,0.24,0.00,0.00,,,,,,,,,,,,,,,,,,59,53.0,81,8,9,16,1,2.58,42,14,+28,+1.65,+0.12,0,17,10,4,32,14,23,,,/es/jugadores/2200181e/Kaan-Ayhan
Roland Sallai,huHUN,"CC,DF",27-343,23,15,"1,465",16.3,2,0,2,2,0,0,9,0,0.12,0.00,0.12,0.12,0.12,Partidos,34,13,38.2,1.97,0.75,0.06,0.15,,,,,,,,,,,,,,,,,,65,54.0,84,11,8,26,0,2.58,39,16,+23,+1.33,-0.57,0,48,43,4,64,23,26,,,/es/jugadores/bf075f6b/Roland-Sallai
Ismail Jakobs,snSEN,DF,25-256,13,11,846,9.4,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Partidos,4,0,0.0,0.39,0.00,0.00,,,,,,,,,,,,,,,,,,,65,31.7,75,5,3,30,2,2.71,25,9,+16,+1.58,-0.02,0,10,7,0,31,14,13,,,/es/jugadores/a0415710/Ismail-Jakobs
Evren Eren Elmalı,trTUR,DF,24-297,9,8,722,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,3,2,66.7,0.36,0.24,0.00,0.00,,,,,,,,,,,,,,,,,,75,25.9,78,5,1,45,0,2.30,24,7,+17,+2.05,+0.62,0,10,6,0,18,3,10,,,/es/jugadores/8eeb8ba4/Evren-Eren-Elmali
