Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Mikel Oyarzabal,"€ 69,231","€ 3,600,000",,"Jun 30, 2028",4,"€ 14,400,000","€ 75,000,000"
Martín Zubimendi,"€ 57,692","€ 3,000,000",,"Jun 30, 2027",3,"€ 9,000,000","€ 60,000,000"
Álex Remiro,"€ 53,846","€ 2,800,000",,"Jun 30, 2027",3,"€ 8,400,000","€ 70,000,000"
Álvaro Odriozola,"€ 51,923","€ 2,700,000",,"Jun 30, 2029",5,"€ 13,500,000",
Takefusa Kubo,"€ 48,077","€ 2,500,000",,"Jun 30, 2029",5,"€ 12,500,000","€ 60,000,000"
Hamari Traoré,"€ 46,154","€ 2,400,000",,"Jun 30, 2026",2,"€ 4,800,000",
Sergio Gómez,"€ 44,231","€ 2,300,000",,"Jun 30, 2030",6,"€ 13,800,000",
Brais Méndez,"€ 42,308","€ 2,200,000",,"Jun 30, 2028",4,"€ 8,800,000","€ 60,000,000"
Aritz Elustondo,"€ 42,308","€ 2,200,000",,"Jun 30, 2026",2,"€ 4,400,000","€ 60,000,000"
Igor Zubeldia,"€ 38,462","€ 2,000,000",,"Jun 30, 2029",5,"€ 10,000,000","€ 50,000,000"
Nayef Aguerd,"€ 35,000","€ 1,820,000",,"Jun 30, 2025",1,"€ 1,820,000",
Ander Barrenetxea,"€ 30,000","€ 1,560,000",,"Jun 30, 2030",6,"€ 9,360,000","€ 75,000,000"
Sheraldo Becker,"€ 26,923","€ 1,400,000",,"Jun 30, 2026",2,"€ 2,800,000",
Jon Aramburu,"€ 25,962","€ 1,350,000",,"Jun 30, 2030",6,"€ 8,100,000","€ 60,000,000"
Luka Sucic,"€ 24,038","€ 1,250,000",,"Jun 30, 2029",5,"€ 6,250,000",
Beñat Turrientes,"€ 24,038","€ 1,250,000",,"Jun 30, 2030",6,"€ 7,500,000",
Orri Óskarsson,"€ 20,000","€ 1,040,000",,"Jun 30, 2030",6,"€ 6,240,000",
Jon Pacheco,"€ 20,000","€ 1,040,000",,"Jun 30, 2030",6,"€ 6,240,000",
Aihen Muñoz,"€ 16,538","€ 860,000",,"Jun 30, 2027",3,"€ 2,580,000","€ 50,000,000"
Arsen Zakharyan,"€ 14,423","€ 750,000",,"Jun 30, 2029",5,"€ 3,750,000",
Javi López,"€ 13,846","€ 720,000",,"Jun 30, 2030",6,"€ 4,320,000",
Pablo Marín,"€ 12,115","€ 630,000",,"Jun 30, 2028",4,"€ 2,520,000",
Jon Martín,"€ 6,154","€ 320,000",,"Jun 30, 2030",6,"€ 1,920,000",
Jon Ander Olasagasti,"€ 5,769","€ 300,000",,"Jun 30, 2025",1,"€ 300,000",
Unai Marrero,"€ 3,462","€ 180,000",,"Jun 30, 2027",3,"€ 540,000",
