Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Fabian de Keijzer,Goalkeeper,"May 10, 2000 (24)",Netherlands,"1,93m",right,"Aug 11, 2023",,"Jun 30, 2027",€1.00m,https://www.transfermarkt.com/fabian-de-keijzer/profil/spieler/462285
30,Robin Mantel,Goalkeeper,"Nov 15, 2000 (24)","Belgium, Netherlands","1,98m",right,"Jul 1, 2024",,"Jun 30, 2026",€50k,https://www.transfermarkt.com/robin-mantel/profil/spieler/535741
16,Timo Jansink,Goalkeeper,"Mar 16, 2003 (22)",Netherlands,"2,03m",right,"Jul 1, 2022",,"Jun 30, 2029",€25k,https://www.transfermarkt.com/timo-jansink/profil/spieler/703778
36,Jonah te Fruchte,Goalkeeper,"Mar 25, 2006 (19)",Netherlands,-,,,,-,-,https://www.transfermarkt.com/jonah-te-fruchte/profil/spieler/1031542
24,Ivan Mesik,Centre-Back,"Jun 1, 2001 (23)",Slovakia,"1,87m",left,"Jul 1, 2024",,"Jun 30, 2028",€800k,https://www.transfermarkt.com/ivan-mesik/profil/spieler/482838
21,Justin Hoogma,Centre-Back,"Jun 11, 1998 (26)",Netherlands,"1,90m",left,"Jan 24, 2022",,"Jun 30, 2026",€650k,https://www.transfermarkt.com/justin-hoogma/profil/spieler/411287
4,Damon Mirani,Centre-Back,"May 13, 1996 (28)",Netherlands,"1,83m",right,"Jul 1, 2024",,"Jun 30, 2027",€550k,https://www.transfermarkt.com/damon-mirani/profil/spieler/257986
35,Stijn Bultman,Centre-Back,"Jan 29, 2005 (20)",Netherlands,"1,87m",right,"Jul 1, 2023",,"Jun 30, 2026",€450k,https://www.transfermarkt.com/stijn-bultman/profil/spieler/936571
6,Sava-Arangel Cestic,Centre-Back,"Feb 19, 2001 (24)","Serbia, Germany","1,92m",right,"Jan 1, 2023",,"Jun 30, 2026",€400k,https://www.transfermarkt.com/sava-arangel-cestic/profil/spieler/464906
27,Jop Tijink,Centre-Back,"Jan 30, 2005 (20)",Netherlands,"1,88m",left,"Aug 3, 2024",,"Jun 30, 2026",€50k,https://www.transfermarkt.com/jop-tijink/profil/spieler/936604
39,Mats Rots,Left-Back,"Mar 11, 2006 (19)",Netherlands,"1,90m",left,"Jan 17, 2025",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/mats-rots/profil/spieler/983677
22,Lorenzo Milani,Left-Back,"May 22, 2001 (23)",Italy,"1,78m",left,"Jul 1, 2024",,"Jun 30, 2028",€275k,https://www.transfermarkt.com/lorenzo-milani/profil/spieler/500274
2,Mimeirhel Benita,Right-Back,"Nov 17, 2003 (21)","Netherlands, Curacao","1,80m",right,"Jul 1, 2024",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/mimeirhel-benita/profil/spieler/591880
3,Jannes Wieckhoff,Right-Back,"Aug 2, 2000 (24)",Germany,"1,88m",right,"Jul 1, 2023",,"Jun 30, 2026",€750k,https://www.transfermarkt.com/jannes-wieckhoff/profil/spieler/447801
18,Kelvin Leerdam,Right-Back,"Jun 24, 1990 (34)","Suriname, Netherlands","1,78m",right,"Feb 8, 2024",,"Jun 30, 2025",€150k,https://www.transfermarkt.com/kelvin-leerdam/profil/spieler/92936
14,Brian De Keersmaecker,Defensive Midfield,"May 6, 2000 (24)",Belgium,"1,82m",right,"Jul 1, 2023",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/brian-de-keersmaecker/profil/spieler/429916
32,Sem Scheperman,Defensive Midfield,"Jun 24, 2002 (22)",Netherlands,"1,88m",left,"Mar 4, 2022",,"Jun 30, 2026",€600k,https://www.transfermarkt.com/sem-scheperman/profil/spieler/618083
26,Daniël van Kaam,Defensive Midfield,"Jun 23, 2000 (24)","Netherlands, Brazil","1,75m",left,"Aug 2, 2024",,"Jun 30, 2027",€550k,https://www.transfermarkt.com/daniel-van-kaam/profil/spieler/377720
13,Jan Zamburek,Central Midfield,"Feb 13, 2001 (24)",Czech Republic,"1,82m",left,"Jul 3, 2024",,"Jun 30, 2028",€600k,https://www.transfermarkt.com/jan-zamburek/profil/spieler/487924
5,Jordy Bruijn,Attacking Midfield,"Jul 23, 1996 (28)",Netherlands,"1,71m",right,"Jan 11, 2024",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/jordy-bruijn/profil/spieler/241378
17,Thomas Bruns,Attacking Midfield,"Jan 7, 1992 (33)",Netherlands,"1,77m",right,"Aug 3, 2022",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/thomas-bruns/profil/spieler/172202
8,Mario Engels,Left Winger,"Oct 22, 1993 (31)",Germany,"1,84m",right,"Jul 19, 2023",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/mario-engels/profil/spieler/93637
29,Suf Podgoreanu,Left Winger,"Jan 20, 2002 (23)","Israel, Romania","1,93m",right,"Aug 22, 2024",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/suf-podgoreanu/profil/spieler/540827
7,Bryan Limbombe,Left Winger,"May 14, 2001 (23)","Belgium, DR Congo","1,72m",right,"Jul 1, 2023",,"Jun 30, 2027",€500k,https://www.transfermarkt.com/bryan-limbombe/profil/spieler/502288
28,Giandro Sambo,Left Winger,"Aug 28, 2006 (18)","Curacao, Netherlands","1,81m",right,"Aug 10, 2024",,"Jun 30, 2027",€75k,https://www.transfermarkt.com/giandro-sambo/profil/spieler/1025411
23,Juho Talvitie,Right Winger,"Mar 25, 2005 (20)",Finland,"1,86m",left,"Jul 19, 2024",,"Jun 30, 2025",€850k,https://www.transfermarkt.com/juho-talvitie/profil/spieler/741587
11,Nikolai Laursen,Right Winger,"Feb 19, 1998 (27)",Denmark,"1,87m",left,"Jul 1, 2021",,"Jun 30, 2025",€700k,https://www.transfermarkt.com/nikolai-laursen/profil/spieler/290555
19,Luka Kulenovic,Centre-Forward,"Sep 29, 1999 (25)","Bosnia-Herzegovina, Croatia","1,90m",right,"Jul 29, 2024",,"Jun 30, 2028",€1.30m,https://www.transfermarkt.com/luka-kulenovic/profil/spieler/569470
9,Jizz Hornkamp,Centre-Forward,"Mar 7, 1998 (27)",Netherlands,"1,82m",right,"Jul 3, 2023",,"Jun 30, 2026",€900k,https://www.transfermarkt.com/jizz-hornkamp/profil/spieler/185817
20,Diego van Oorschot,Centre-Forward,"Oct 2, 2005 (19)",Netherlands,"1,73m",right,"Jul 1, 2023",,"Jun 30, 2027",€125k,https://www.transfermarkt.com/diego-van-oorschot/profil/spieler/989998
