Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Nordin Bakker,Goalkeeper,"Oct 31, 1997 (27)",Netherlands,"1,96m",right,"Jan 28, 2022",,"Jun 30, 2025",€700k,https://www.transfermarkt.com/nordin-bakker/profil/spieler/534015
29,Jonas Wendlinger,Goalkeeper,"Jul 17, 2000 (24)",Austria,"1,92m",right,"Jul 1, 2024",,"Jun 30, 2026",€125k,https://www.transfermarkt.com/jonas-wendlinger/profil/spieler/367443
26,Stijn Keller,Goalkeeper,"Apr 10, 2000 (25)","Switzerland, Netherlands","1,96m",right,"Jul 1, 2020",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/stijn-keller/profil/spieler/458417
31,Joël van der Wilt,Goalkeeper,"Feb 27, 2004 (21)",Netherlands,"1,98m",right,"Jul 1, 2024",,"Jun 30, 2026",€25k,https://www.transfermarkt.com/joel-van-der-wilt/profil/spieler/928573
4,Ricardo Visus,Centre-Back,"Apr 24, 2001 (24)",Spain,"1,92m",right,"Jul 12, 2024",,"Jun 30, 2025",€750k,https://www.transfermarkt.com/ricardo-visus/profil/spieler/630989
22,Théo Barbet,Centre-Back,"Mar 6, 2001 (24)",France,"1,86m",left,"Aug 4, 2022",,"Jun 30, 2026",€500k,https://www.transfermarkt.com/theo-barbet/profil/spieler/484987
3,Joey Jacobs,Centre-Back,"Apr 10, 2000 (25)",Netherlands,"1,87m",right,"Jan 11, 2022",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/joey-jacobs/profil/spieler/361124
27,Marvin Martins,Centre-Back,"Feb 17, 1995 (30)","Luxembourg, Cape Verde","1,85m",right,"Jan 4, 2025",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/marvin-martins/profil/spieler/313504
15,James Lawrence,Centre-Back,"Aug 22, 1992 (32)","Wales, England","1,88m",left,"Aug 25, 2024",,"Jun 30, 2025",€350k,https://www.transfermarkt.com/james-lawrence/profil/spieler/272706
25,Christopher Mamengi,Centre-Back,"Apr 3, 2001 (24)","Netherlands, Angola","1,89m",left,"Aug 17, 2023",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/christopher-mamengi/profil/spieler/477249
14,Vasilios Zagaritis,Left-Back,"May 4, 2001 (24)",Greece,"1,78m",left,"Jul 1, 2024",,"Jun 30, 2026",€600k,https://www.transfermarkt.com/vasilios-zagaritis/profil/spieler/613781
