Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
-,Nick Olij,Goalkeeper,"Aug 1, 1995 (29)",Netherlands,"1,84m",right,"Jul 1, 2022",,"Jun 30, 2028",€3.50m,https://www.transfermarkt.com/nick-olij/profil/spieler/215094
-,Youri Schoonderwaldt,Goalkeeper,"Mar 13, 2000 (25)",Netherlands,"1,95m",left,"Jul 1, 2022",,"Jun 30, 2026",€125k,https://www.transfermarkt.com/youri-schoonderwaldt/profil/spieler/531712
-,Kaylen Reitmaier,Goalkeeper,"Apr 5, 2004 (21)","Germany, Brazil","1,98m",right,"Jul 6, 2023",,"Jun 30, 2025",€50k,https://www.transfermarkt.com/kaylen-reitmaier/profil/spieler/810846
-,Mike Eerdhuijzen,Centre-Back,"Jul 13, 2000 (24)",Netherlands,"1,94m",left,"Jul 1, 2022",,"Jun 30, 2026",€2.00m,https://www.transfermarkt.com/mike-eerdhuijzen/profil/spieler/482141
-,Marvin Young,Centre-Back,"Oct 2, 2005 (19)","Netherlands, Suriname","1,82m",right,"Nov 1, 2024",,"Jun 30, 2029",€1.00m,https://www.transfermarkt.com/marvin-young/profil/spieler/928592
-,Rick Meissen,Centre-Back,"Feb 24, 2002 (23)",Netherlands,"1,90m",right,"Jan 30, 2023",,"Jun 30, 2026",€650k,https://www.transfermarkt.com/rick-meissen/profil/spieler/596178
-,Teo Quintero,Centre-Back,"Mar 2, 1999 (26)","Venezuela, Spain","1,88m",left,"Jul 1, 2024",,"Jun 30, 2027",€650k,https://www.transfermarkt.com/teo-quintero/profil/spieler/627069
-,Patrick van Aanholt,Left-Back,"Aug 29, 1990 (34)","Netherlands, Curacao","1,76m",left,"Nov 12, 2024",,"Jun 30, 2026",€600k,https://www.transfermarkt.com/patrick-van-aanholt/profil/spieler/52119
-,Mike Kleijn,Left-Back,"Feb 9, 2005 (20)",Netherlands,"1,75m",left,"Jul 1, 2024",,"Jun 30, 2028",€250k,https://www.transfermarkt.com/mike-kleijn/profil/spieler/738516
-,Saïd Bakari,Right-Back,"Sep 22, 1994 (30)","Comoros, France","1,78m",right,"Jul 1, 2023",,"Jun 30, 2026",€650k,https://www.transfermarkt.com/said-bakari/profil/spieler/524687
-,Boyd Reith,Right-Back,"May 5, 1999 (26)",Netherlands,"1,76m",right,"Jul 1, 2024",,"Jun 30, 2027",€500k,https://www.transfermarkt.com/boyd-reith/profil/spieler/393240
-,Gjivai Zechiël,Defensive Midfield,"Jun 1, 2004 (20)","Netherlands, Suriname","1,71m",right,"Feb 4, 2025",,"Jun 30, 2025",€3.50m,https://www.transfermarkt.com/gjivai-zechiel/profil/spieler/571149
-,Jonathan de Guzmán,Defensive Midfield,"Sep 13, 1987 (37)","Netherlands, Canada","1,73m",right,"Jul 22, 2022",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/jonathan-de-guzman/profil/spieler/31067
-,Joshua Kitolano,Central Midfield,"Aug 3, 2001 (23)",Norway,"1,70m",right,"Aug 1, 2022",,"Jun 30, 2026",€3.50m,https://www.transfermarkt.com/joshua-kitolano/profil/spieler/432694
-,Carel Eiting,Central Midfield,"Feb 11, 1998 (27)",Netherlands,"1,79m",left,"Jan 17, 2025",,"Jun 30, 2025",€1.60m,https://www.transfermarkt.com/carel-eiting/profil/spieler/315128
-,Pelle Clement,Central Midfield,"May 19, 1996 (28)",Netherlands,"1,77m",right,"Jul 1, 2023",,"Jun 30, 2026",€700k,https://www.transfermarkt.com/pelle-clement/profil/spieler/297693
