Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Pierre Lees-Melou,"€ 41,923","€ 2,180,000",,"Jun 30, 2027",3,"€ 6,540,000",
Romain Faivre,"€ 41,923","€ 2,180,000",,"Jun 30, 2025",1,"€ 2,180,000",
Ludovic Ajorque,"€ 41,538","€ 2,160,000",,"Jun 30, 2025",1,"€ 2,160,000",
Edimilson Fernandes,"€ 38,077","€ 1,980,000",,"Jun 30, 2025",1,"€ 1,980,000",
Abdallah Sima,"€ 25,000","€ 1,300,000",,"Jun 30, 2025",1,"€ 1,300,000",
Brendan Chardonnet,"€ 24,615","€ 1,280,000",,"Jun 30, 2027",3,"€ 3,840,000",
Mama Baldé,"€ 24,615","€ 1,280,000",,"Jun 30, 2027",3,"€ 3,840,000",
Jordan Amavi,"€ 20,962","€ 1,090,000",,"Jun 30, 2025",1,"€ 1,090,000",
Romain Del Castillo,"€ 20,962","€ 1,090,000",,"Jun 30, 2027",3,"€ 3,270,000",
Ibrahim Salah,"€ 20,769","€ 1,080,000",,"Jun 30, 2025",1,"€ 1,080,000",
Soumaïla Coulibaly,"€ 20,000","€ 1,040,000",,"Jun 30, 2025",1,"€ 1,040,000",
Massadio Haidara,"€ 17,500","€ 910,000",,"Jun 30, 2025",1,"€ 910,000",
Marco Bizot,"€ 17,500","€ 910,000",,"Jun 30, 2026",2,"€ 1,820,000",
Hugo Magnetti,"€ 15,769","€ 820,000",,"Jun 30, 2027",3,"€ 2,460,000",
Jonas Martin,"€ 15,385","€ 800,000",,"Jun 30, 2025",1,"€ 800,000",
Kenny Lala,"€ 13,846","€ 720,000",,"Jun 30, 2025",1,"€ 720,000",
Kamory Doumbia,"€ 12,308","€ 640,000",,"Jun 30, 2029",5,"€ 3,200,000",
Mathias Pereira Lage,"€ 9,808","€ 510,000",,"Jun 30, 2025",1,"€ 510,000",
Bradley Locko,"€ 9,615","€ 500,000",,"Jun 30, 2027",3,"€ 1,500,000",
Julien Le Cardinal,"€ 9,231","€ 480,000",,"Jun 30, 2027",3,"€ 1,440,000",
Abdoulaye Ndiaye,"€ 7,500","€ 390,000",,"Jun 30, 2025",1,"€ 390,000",
Grégoire Coudert,"€ 6,154","€ 320,000",,"Jun 30, 2027",3,"€ 960,000",
Mahdi Camara,"€ 5,769","€ 300,000",,"Jun 30, 2026",2,"€ 600,000",
Noah Jauny,"€ 1,923","€ 100,000",,"Jun 30, 2025",1,"€ 100,000",
Luck Zogbé,"€ 1,923","€ 100,000",,"Jun 30, 2027",3,"€ 300,000",
Justin Bourgault,"€ 1,731","€ 90,000",,"Jun 30, 2029",5,"€ 450,000",
