Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Jasper Schendelaar,Goalkeeper,"Sep 2, 2000 (24)",Netherlands,"1,86m",right,"Jul 1, 2021",,"Jun 30, 2026",€1.80m,https://www.transfermarkt.com/jasper-schendelaar/profil/spieler/361082
40,Mike Hauptmeijer,Goalkeeper,"Mar 18, 1997 (28)",Netherlands,"1,90m",left,"Jul 1, 2016",,"Jun 30, 2027",€75k,https://www.transfermarkt.com/mike-hauptmeijer/profil/spieler/297373
25,Kenneth Vermeer,Goalkeeper,"Jan 10, 1986 (39)","Netherlands, Suriname","1,82m",right,"Jul 1, 2023",,"Jun 30, 2025",€50k,https://www.transfermarkt.com/kenneth-vermeer/profil/spieler/30290
41,Duke Verduin,Goalkeeper,"Oct 30, 2003 (21)",Netherlands,"1,95m",right,"Jul 1, 2022",,"Jun 30, 2025",€25k,https://www.transfermarkt.com/duke-verduin/profil/spieler/933570
28,Simon Graves,Centre-Back,"May 22, 1999 (25)",Denmark,"1,91m",right,"Aug 21, 2024",,"Jun 30, 2025",€1.20m,https://www.transfermarkt.com/simon-graves/profil/spieler/542858
4,Anselmo García MacNulty,Centre-Back,"Feb 19, 2003 (22)","Ireland, Spain","1,90m",left,"Jul 26, 2023",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/anselmo-garcia-macnulty/profil/spieler/631904
33,Damian van der Haar,Centre-Back,"Jan 16, 2004 (21)",Netherlands,"1,87m",left,"Jul 1, 2023",,"Jun 30, 2025",€650k,https://www.transfermarkt.com/damian-van-der-haar/profil/spieler/640558
3,Olivier Aertssen,Centre-Back,"Aug 7, 2004 (20)",Netherlands,"1,85m",right,"Aug 26, 2024",,"Jun 30, 2027",€600k,https://www.transfermarkt.com/olivier-aertssen/profil/spieler/720791
5,Thierry Lutonda,Left-Back,"Oct 27, 2000 (24)","Belgium, DR Congo","1,67m",left,"Jul 1, 2024",,"Jun 30, 2026",€350k,https://www.transfermarkt.com/thierry-lutonda/profil/spieler/416802
47,Tristan Gooijer,Right-Back,"Sep 2, 2004 (20)",Netherlands,"1,85m",right,"Jul 16, 2024",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/tristan-gooijer/profil/spieler/656800
2,Sherel Floranus,Right-Back,"Aug 23, 1998 (26)","Curacao, Netherlands","1,81m",right,"Aug 26, 2024",,"Jun 30, 2027",€750k,https://www.transfermarkt.com/sherel-floranus/profil/spieler/315211
23,Eliano Reijnders,Right-Back,"Oct 23, 2000 (24)","Indonesia, Netherlands","1,68m",right,"Jul 1, 2020",,"Jun 30, 2027",€550k,https://www.transfermarkt.com/eliano-reijnders/profil/spieler/538057
6,Anouar El Azzouzi,Defensive Midfield,"May 29, 2001 (23)","Morocco, Netherlands","1,87m",right,"Jul 10, 2023",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/anouar-el-azzouzi/profil/spieler/593774
34,Nick Fichtinger,Defensive Midfield,"Apr 6, 2004 (21)",Netherlands,"1,78m",right,"Sep 8, 2023",,"Jun 30, 2026",€450k,https://www.transfermarkt.com/nick-fichtinger/profil/spieler/806384
10,Davy van den Berg,Central Midfield,"Feb 4, 2000 (25)",Netherlands,"1,85m",left,"Aug 4, 2022",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/davy-van-den-berg/profil/spieler/361066
35,Jamiro Monteiro,Central Midfield,"Nov 23, 1993 (31)","Cape Verde, Netherlands","1,75m",right,"Aug 30, 2024",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/jamiro-monteiro/profil/spieler/272930
30,Ryan Thomas,Central Midfield,"Dec 20, 1994 (30)","New Zealand, England","1,74m",right,"Oct 26, 2022",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/ryan-thomas/profil/spieler/203357
38,Teun Gijselhart,Central Midfield,"Apr 6, 2005 (20)",Netherlands,"1,76m",right,"Jul 1, 2024",,"Jun 30, 2026",€50k,https://www.transfermarkt.com/teun-gijselhart/profil/spieler/738477
18,Odysseus Velanas,Attacking Midfield,"Jun 5, 1998 (26)","Netherlands, Greece","1,80m",right,"Jul 7, 2023",,"Jun 30, 2026",€650k,https://www.transfermarkt.com/odysseus-velanas/profil/spieler/360520
21,Samir Lagsir,Attacking Midfield,"May 20, 2003 (21)","Netherlands, Morocco","1,80m",right,"Jan 1, 2021",,"Jun 30, 2026",€200k,https://www.transfermarkt.com/samir-lagsir/profil/spieler/564620
50,Filip Krastev,Left Winger,"Oct 15, 2001 (23)",Bulgaria,"1,78m",right,"Jan 27, 2024",,"Jun 30, 2025",€3.00m,https://www.transfermarkt.com/filip-krastev/profil/spieler/486814
11,Dylan Mbayo,Right Winger,"Oct 11, 2001 (23)","Belgium, DR Congo","1,75m",left,"Aug 7, 2024",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/dylan-mbayo/profil/spieler/502289
7,Younes Namli,Right Winger,"Jun 20, 1994 (30)","Denmark, Morocco","1,80m",left,"Sep 9, 2024",,"Jun 30, 2025",€1.60m,https://www.transfermarkt.com/younes-namli/profil/spieler/227039
22,Kaj de Rooij,Right Winger,"Nov 25, 2000 (24)",Netherlands,"1,84m",right,"Jan 30, 2024",,"Jun 30, 2025",€350k,https://www.transfermarkt.com/kaj-de-rooij/profil/spieler/540927
9,Dylan Vente,Centre-Forward,"May 9, 1999 (25)","Suriname, Netherlands","1,85m",right,"Aug 15, 2024",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/dylan-vente/profil/spieler/369319
29,Thomas Buitink,Centre-Forward,"Jun 14, 2000 (24)",Netherlands,"1,74m",right,"Jul 5, 2024",,"Jun 30, 2027",€500k,https://www.transfermarkt.com/thomas-buitink/profil/spieler/357826
