Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
31,Mattijs Branderhorst,Goalkeeper,"Dec 31, 1993 (31)",Netherlands,"1,92m",right,"Jul 24, 2024",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/mattijs-branderhorst/profil/spieler/205128
1,Luuk Koopmans,Goalkeeper,"Nov 18, 1993 (31)",Netherlands,"1,90m",right,"Jul 1, 2023",,"Jun 30, 2027",€200k,https://www.transfermarkt.com/luuk-koopmans/profil/spieler/235108
25,Niels Martens,Goalkeeper,"May 7, 2004 (20)",Netherlands,"2,01m",,,,-,€25k,https://www.transfermarkt.com/niels-martens/profil/spieler/1148221
71,Ramazan Bayram,Goalkeeper,"Oct 12, 2004 (20)",Belgium,"1,90m",,"Jul 1, 2024",,-,€25k,https://www.transfermarkt.com/ramazan-bayram/profil/spieler/1029376
14,Rodrigo Guth,Centre-Back,"Nov 10, 2000 (24)","Brazil, Germany","1,92m",right,"Jul 21, 2022",,"Jun 30, 2027",€2.50m,https://www.transfermarkt.com/rodrigo-guth/profil/spieler/492313
4,Shawn Adewoye,Centre-Back,"Jun 29, 2000 (24)","Belgium, Nigeria","1,83m",right,"Jul 19, 2024",,"Jun 30, 2026",€1.60m,https://www.transfermarkt.com/shawn-adewoye/profil/spieler/358021
6,Syb van Ottele,Centre-Back,"Feb 2, 2002 (23)",Netherlands,"1,85m",right,"Jul 13, 2024",,"Jun 30, 2027",€800k,https://www.transfermarkt.com/syb-van-ottele/profil/spieler/485586
5,Darijo Grujcic,Centre-Back,"May 19, 1999 (25)",Austria,"1,88m",left,"Jul 1, 2024",,"Jun 30, 2026",€250k,https://www.transfermarkt.com/darijo-grujcic/profil/spieler/307769
8,Jasper Dahlhaus,Left-Back,"Nov 27, 2001 (23)",Netherlands,"1,76m",left,"Jul 1, 2024",,"Jun 30, 2026",€700k,https://www.transfermarkt.com/jasper-dahlhaus/profil/spieler/576682
24,Daley Sinkgraven,Left-Back,"Jul 4, 1995 (29)",Netherlands,"1,79m",left,"Feb 3, 2025",,"Jun 30, 2026",€700k,https://www.transfermarkt.com/daley-sinkgraven/profil/spieler/215099
35,Mitchell Dijks,Left-Back,"Feb 9, 1993 (32)",Netherlands,"1,94m",left,"Jul 18, 2023",,"Jun 30, 2026",€650k,https://www.transfermarkt.com/mitchell-dijks/profil/spieler/187245
12,Ivo Pinto,Right-Back,"Jan 7, 1990 (35)",Portugal,"1,82m",right,"Jul 1, 2022",,"Jun 30, 2026",€350k,https://www.transfermarkt.com/ivo-pinto/profil/spieler/82281
32,Loreintz Rosier,Defensive Midfield,"Aug 14, 1998 (26)",France,"1,90m",right,"Jul 18, 2023",,"Jun 30, 2025",€1.30m,https://www.transfermarkt.com/loreintz-rosier/profil/spieler/586855
38,Tristan Schenkhuizen,Defensive Midfield,"Jul 12, 2004 (20)",Netherlands,"1,78m",left,"Jul 1, 2024",,"Jun 30, 2025",€25k,https://www.transfermarkt.com/tristan-schenkhuizen/profil/spieler/1135967
20,Edouard Michut,Central Midfield,"Mar 4, 2003 (22)",France,"1,77m",right,"Nov 5, 2024",,"Jun 30, 2027",€1.80m,https://www.transfermarkt.com/edouard-michut/profil/spieler/659521
