Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Jeroen Houwen,Goalkeeper,"Feb 18, 1996 (29)",Netherlands,"1,88m",right,"Jul 1, 2023",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/jeroen-houwen/profil/spieler/257980
21,Yanick van Osch,Goalkeeper,"Mar 24, 1997 (28)",Netherlands,"1,83m",right,"Jul 1, 2024",,"Jun 30, 2026",€350k,https://www.transfermarkt.com/yanick-van-osch/profil/spieler/258362
16,Mark Spenkelink,Goalkeeper,"Jan 27, 1997 (28)",Netherlands,"1,96m",,"Feb 7, 2025",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/mark-spenkelink/profil/spieler/383705
13,Joey Kesting,Goalkeeper,"Mar 7, 2001 (24)",Netherlands,"1,90m",,"Jul 1, 2022",,"Jun 30, 2025",€50k,https://www.transfermarkt.com/joey-kesting/profil/spieler/471691
31,Luuk Vogels,Goalkeeper,"Jul 6, 2003 (21)",Netherlands,"1,91m",,"Aug 19, 2024",,"Jun 30, 2026",€25k,https://www.transfermarkt.com/luuk-vogels/profil/spieler/1004305
3,Dario Van den Buijs,Centre-Back,"Sep 12, 1995 (29)",Belgium,"1,87m",left,"Aug 30, 2021",,"Jun 30, 2025",€650k,https://www.transfermarkt.com/dario-van-den-buijs/profil/spieler/235274
32,Redouan El Yaakoubi,Centre-Back,"Jan 25, 1996 (29)","Netherlands, Morocco","1,83m",right,"Jan 31, 2025",,"Jun 30, 2026",€650k,https://www.transfermarkt.com/redouan-el-yaakoubi/profil/spieler/480730
17,Roshon van Eijma,Centre-Back,"Jun 9, 1998 (26)","Curacao, Netherlands","1,86m",right,"Jul 2, 2024",,"Jun 30, 2026",€500k,https://www.transfermarkt.com/roshon-van-eijma/profil/spieler/401029
4,Liam van Gelderen,Centre-Back,"Mar 23, 2001 (24)","Suriname, Netherlands","1,82m",right,"Jul 26, 2024",,"Jun 30, 2027",€400k,https://www.transfermarkt.com/liam-van-gelderen/profil/spieler/412933
5,Juan Familia-Castillo,Left-Back,"Jan 13, 2000 (25)","Dominican Republic, Netherlands","1,75m",left,"Jul 1, 2024",,"Jun 30, 2026",€450k,https://www.transfermarkt.com/juan-familia-castillo/profil/spieler/349567
