Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Etienne Vaessen,Goalkeeper,"Jul 26, 1995 (29)","Suriname, Netherlands","1,89m",right,"Jul 1, 2024",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/etienne-vaessen/profil/spieler/387197
21,Hidde Jurjus,Goalkeeper,"Feb 9, 1994 (31)",Netherlands,"1,89m",right,"Jul 1, 2023",,"Jun 30, 2026",€400k,https://www.transfermarkt.com/hidde-jurjus/profil/spieler/215551
24,Dirk Baron,Goalkeeper,"Aug 16, 2002 (22)",Netherlands,"1,96m",right,"Jul 1, 2023",,"Jun 30, 2026",€25k,https://www.transfermarkt.com/dirk-baron/profil/spieler/747635
31,Jasper Meijster,Goalkeeper,"Jan 3, 2005 (20)",Netherlands,"1,88m",right,"Jul 1, 2023",,"Jun 30, 2025",€25k,https://www.transfermarkt.com/jasper-meijster/profil/spieler/704252
4,Hjalmar Ekdal,Centre-Back,"Oct 21, 1998 (26)",Sweden,"1,87m",right,"Jan 23, 2025",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/hjalmar-ekdal/profil/spieler/392179
3,Thijmen Blokzijl,Centre-Back,"Feb 25, 2005 (20)",Netherlands,"1,91m",right,"Jan 1, 2023",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/thijmen-blokzijl/profil/spieler/719209
5,Marco Rente,Centre-Back,"Feb 25, 1997 (28)",Germany,"1,88m",right,"Jul 1, 2023",,"Jun 30, 2027",€800k,https://www.transfermarkt.com/marco-rente/profil/spieler/237244
22,Finn Stam,Centre-Back,"Apr 13, 2003 (22)",Netherlands,"1,88m",right,"Jul 10, 2024",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/finn-stam/profil/spieler/665541
43,Marvin Peersman,Centre-Back,"Feb 10, 1991 (34)","Belgium, Ghana","1,85m",left,"Jul 3, 2023",,"Jun 30, 2026",€350k,https://www.transfermarkt.com/marvin-peersman/profil/spieler/125769
67,Sven Bouland,Centre-Back,"Feb 22, 2006 (19)",Netherlands,"1,84m",left,"Aug 12, 2024",,"Jun 30, 2027",€175k,https://www.transfermarkt.com/sven-bouland/profil/spieler/848755
36,Maxim Mariani,Centre-Back,"Nov 3, 2004 (20)","Netherlands, Italy","1,85m",right,"Sep 26, 2024",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/maxim-mariani/profil/spieler/660059
2,Wouter Prins,Left-Back,"Feb 6, 2004 (21)",Netherlands,"1,73m",left,"Nov 1, 2023",,"Jun 30, 2027",€800k,https://www.transfermarkt.com/wouter-prins/profil/spieler/671734
7,Leandro Bacuna,Right-Back,"Aug 21, 1991 (33)","Curacao, Netherlands","1,80m",right,"Aug 2, 2023",,"Jun 30, 2025",€350k,https://www.transfermarkt.com/leandro-bacuna/profil/spieler/126014
