Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Thomas Didillon-Hödl,Goalkeeper,"Nov 28, 1995 (29)",France,"1,93m",left,"Jul 1, 2024",,"Jun 30, 2026",€950k,https://www.transfermarkt.com/thomas-didillon-hodl/profil/spieler/182891
24,Connor van den Berg,Goalkeeper,"Mar 18, 2001 (24)",Netherlands,"1,87m",right,"Jul 1, 2019",,"Jun 30, 2025",€50k,https://www.transfermarkt.com/connor-van-den-berg/profil/spieler/477476
41,Maarten Schut,Goalkeeper,"Oct 13, 2003 (21)",Netherlands,"1,80m",right,"Oct 24, 2023",,"Jun 30, 2025",€25k,https://www.transfermarkt.com/maarten-schut/profil/spieler/692286
33,Tommy St. Jago,Centre-Back,"Jan 3, 2000 (25)","Netherlands, Curacao","1,86m",right,"Sep 1, 2023",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/tommy-st-jago/profil/spieler/458734
30,Raffael Behounek,Centre-Back,"Apr 16, 1997 (28)",Austria,"1,87m",right,"Jul 28, 2023",,"Jun 30, 2026",€950k,https://www.transfermarkt.com/raffael-behounek/profil/spieler/321095
4,Erik Schouten,Centre-Back,"Aug 16, 1991 (33)",Netherlands,"1,82m",right,"Jul 1, 2022",,"Jun 30, 2025",€250k,https://www.transfermarkt.com/erik-schouten/profil/spieler/79194
15,Miodrag Pivas,Centre-Back,"May 17, 2005 (19)",Serbia,"1,88m",right,"Sep 2, 2024",,"Jun 30, 2025",€250k,https://www.transfermarkt.com/miodrag-pivas/profil/spieler/908890
48,Jens Mathijsen,Centre-Back,"Aug 15, 2007 (17)",Netherlands,"1,83m",right,"Jul 1, 2024",,"Jun 30, 2027",€100k,https://www.transfermarkt.com/jens-mathijsen/profil/spieler/1175838
5,Rúnar Thór Sigurgeirsson,Left-Back,"Dec 28, 1999 (25)",Iceland,"1,86m",left,"Aug 28, 2023",,"Jun 30, 2026",€600k,https://www.transfermarkt.com/runar-thor-sigurgeirsson/profil/spieler/494170
22,Rob Nizet,Left-Back,"Apr 14, 2002 (23)","Belgium, Senegal","1,77m",left,"Jan 20, 2024",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/rob-nizet/profil/spieler/496871
25,Mickaël Tirpan,Right-Back,"Oct 23, 1993 (31)","Türkiye, Belgium","1,77m",right,"Jul 2, 2024",,"Jun 30, 2026",€700k,https://www.transfermarkt.com/mickael-tirpan/profil/spieler/201248
6,Boris Lambert,Defensive Midfield,"Apr 10, 2000 (25)",Belgium,"1,87m",right,"Aug 29, 2024",,"Jun 30, 2028",€800k,https://www.transfermarkt.com/boris-lambert/profil/spieler/585711
34,Amine Lachkar,Defensive Midfield,"Apr 18, 2003 (22)","Netherlands, Morocco","1,89m",right,"Jan 1, 2023",,"Jun 30, 2027",€650k,https://www.transfermarkt.com/amine-lachkar/profil/spieler/928330
8,Jesse Bosch,Central Midfield,"Feb 1, 2000 (25)",Netherlands,"1,76m",right,"Jul 28, 2022",,"Jun 30, 2027",€900k,https://www.transfermarkt.com/jesse-bosch/profil/spieler/524043
77,Dennis Kaygın,Central Midfield,"Apr 2, 2004 (21)","Türkiye, Germany","1,86m",right,"Jan 16, 2025",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/dennis-kaygin/profil/spieler/829257
16,Ringo Meerveld,Attacking Midfield,"Dec 21, 2002 (22)",Netherlands,"1,77m",right,"Aug 31, 2021",,"Jun 30, 2026",€3.00m,https://www.transfermarkt.com/ringo-meerveld/profil/spieler/577455
14,Cisse Sandra,Attacking Midfield,"Dec 16, 2003 (21)",Belgium,"1,84m",left,"Jul 4, 2024",,"Jun 30, 2025",€1.30m,https://www.transfermarkt.com/cisse-sandra/profil/spieler/632088
27,Dani Mathieu,Attacking Midfield,"Feb 9, 2001 (24)",Netherlands,"1,76m",right,"Jul 23, 2022",,"Jun 30, 2026",€100k,https://www.transfermarkt.com/dani-mathieu/profil/spieler/594035
21,Amar Fatah,Left Winger,"Feb 19, 2004 (21)","Sweden, Somalia","1,80m",right,"Aug 26, 2024",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/amar-fatah/profil/spieler/931841
17,Patrick Joosten,Left Winger,"Apr 14, 1996 (29)","Netherlands, Ghana","1,85m",right,"Jul 31, 2023",,"Jun 30, 2025",€325k,https://www.transfermarkt.com/patrick-joosten/profil/spieler/317593
