Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Wahbi Khazri,"€ 57,692","€ 3,000,000",,"Jun 30, 2025",1,"€ 3,000,000",
Andy Delort,"€ 48,846","€ 2,540,000",,"Jun 30, 2025",1,"€ 2,540,000",
Benjamin Lecomte,"€ 35,000","€ 1,820,000",,"Jun 30, 2027",3,"€ 5,460,000",
Jordan Ferri,"€ 27,692","€ 1,440,000",,"Jun 30, 2026",2,"€ 2,880,000",
Téji Savanier,"€ 25,385","€ 1,320,000",,"Jun 30, 2026",2,"€ 2,640,000",
Nikola Maksimović,"€ 17,308","€ 900,000",,"Jun 30, 2025",1,"€ 900,000",
Christopher Jullien,"€ 17,308","€ 900,000",,"Jun 30, 2025",1,"€ 900,000",
Kiki Kouyaté,"€ 12,308","€ 640,000",,"Jun 30, 2026",2,"€ 1,280,000",
Becir Omeragic,"€ 10,577","€ 550,000",,"Jun 30, 2028",4,"€ 2,200,000",
Modibo Sagnan,"€ 9,615","€ 500,000",,"Jun 30, 2028",4,"€ 2,000,000",
Issiaga Sylla,"€ 7,692","€ 400,000",,"Jun 30, 2025",1,"€ 400,000",
Théo Sainte-Luce,"€ 6,923","€ 360,000",,"Jun 30, 2025",1,"€ 360,000",
Tanguy Coulibaly,"€ 6,154","€ 320,000",,"Jun 30, 2026",2,"€ 640,000",
Bamo Meïté,"€ 5,769","€ 300,000",,"Jun 30, 2025",1,"€ 300,000",
Khalil Fayad,"€ 5,769","€ 300,000",,"Jun 30, 2027",3,"€ 900,000",
Lucas Mincarelli,"€ 3,462","€ 180,000",,"Jun 30, 2027",3,"€ 540,000",
Belmin Dizdarevic,"€ 3,077","€ 160,000",,"Jun 30, 2028",4,"€ 640,000",
Falaye Sacko,"€ 2,692","€ 140,000",,"Jun 30, 2026",2,"€ 280,000",
Glenn Ngosso,"€ 2,308","€ 120,000",,"Jun 30, 2025",1,"€ 120,000",
Othmane Maamma,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Rabby Nzingoula,"€ 2,308","€ 120,000",,"Jun 30, 2025",1,"€ 120,000",
Enzo Tchato,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Dimitry Bertaud,"€ 2,308","€ 120,000",,"Jun 30, 2025",1,"€ 120,000",
Nicolas Pays,"€ 2,308","€ 120,000",,"Jun 30, 2025",1,"€ 120,000",
Joris Chotard,"€ 2,308","€ 120,000",,"Jun 30, 2026",2,"€ 240,000",
