Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Petar Musa,"€ 30,554","€ 1,588,815",,"Dec 31, 2027",3,"€ 4,766,446",
Paxton Pomykal,"€ 16,126","€ 838,541",,"Dec 31, 2026",2,"€ 1,677,083",
Sebastian Lletget,"€ 12,731","€ 662,006",,"Dec 31, 2025",1,"€ 662,006",
Sebastien Ibeagha,"€ 10,524","€ 547,259",,"Dec 31, 2025",1,"€ 547,259",
Marco Farfán,"€ 8,691","€ 451,930",,"Dec 31, 2025",1,"€ 451,930",
Show,"€ 7,842","€ 407,796",,"Jun 30, 2025",1,"€ 407,796",
Maarten Paes,"€ 5,517","€ 286,869",,"Dec 31, 2026",2,"€ 573,739",
Geovane Jesus,"€ 5,092","€ 264,803",,"Dec 31, 2026",2,"€ 529,605",
Patrickson Delgado,"€ 2,546","€ 132,401",,"Dec 31, 2027",3,"€ 397,204",
Antonio Carrera,"€ 2,122","€ 110,334",,"Dec 31, 2025",1,"€ 110,334",
Tsiki Ntsabeleng,"€ 1,523","€ 79,190",,"Dec 31, 2026",2,"€ 158,380",
Tarik Scott,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Nolan Norris,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Bernard Kamungo,"€ 1,523","€ 79,190",,"Dec 31, 2027",3,"€ 237,570",
Alejandro Urzua,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Logan Farrington,"€ 1,212","€ 63,024",,"Dec 31, 2027",3,"€ 189,072",
Malachi Molina,,,,"Dec 31, 2026",2,,
Luciano Acosta,,,,"Dec 31, 2026",2,,
Michael Collodi,,,,"Dec 31, 2026",2,,
Léo Chú,,,,"Dec 31, 2025",1,,
Osaze Urhoghide,,,,"Dec 31, 2028",4,,
Lalas Abubakar,,,,"Dec 31, 2026",2,,
Kaick,,,,"Dec 31, 2028",4,,
Pedrinho,,,,"Dec 31, 2025",1,,
Enzo Newman,,,,"Dec 31, 2026",2,,
Ramiro,,,,"Dec 31, 2026",2,,
Diego García,,,,"Dec 31, 2027",3,,
Daniel Baran,,,,"Dec 31, 2026",2,,
Shaq Moore,,,,"Dec 31, 2026",2,,
Anthony Ramírez,,,,"Dec 31, 2025",1,,
Anderson Julio,,,,"Dec 31, 2025",1,,
Álvaro Augusto,,,,"Dec 31, 2027",3,,
