Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Maestro,aoANG,CC,21-269,29,28,"2,538",28.2,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Partidos,18,8,44.4,0.62,0.27,0.06,0.13,,,,,,,,,,,,,,,,,,88,91.3,90,27,1,29,0,0.23,22,68,-46,-1.58,+0.21,0,33,30,0,9,30,32,,,/es/jugadores/a990d452/Maestro
Abdulsamet Burak,,DF,28-352,29,27,"2,336",26.0,0,1,1,0,0,0,9,0,0.00,0.04,0.04,0.00,0.04,Partidos,9,1,11.1,0.33,0.04,0.00,0.00,,,,,,,,,,,,,,,,,,81,84.0,85,21,2,15,0,0.33,25,61,-36,-1.34,+1.59,0,33,29,0,33,23,40,,,/es/jugadores/9d132217/Abdulsamet-Burak
Arda Kurtulan,alALB,DF,22-162,25,24,"2,160",24.0,0,3,3,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Partidos,5,2,40.0,0.21,0.08,0.00,0.00,,,,,,,,,,,,,,,,,,86,75.0,88,23,1,45,0,0.36,20,58,-38,-1.58,+0.04,0,29,23,3,31,33,36,,,/es/jugadores/633acacc/Arda-Kurtulan
Yusuf Barasi,trTUR,"DL,CC",22-030,26,22,"1,951",21.7,7,2,9,5,2,2,0,1,0.32,0.09,0.42,0.23,0.32,Partidos,35,15,42.9,1.54,0.66,0.14,0.33,,,,,,,,,,,,,,,,,,76,70.9,81,9,4,45,0,0.37,18,41,-23,-1.01,+1.99,0,22,34,8,13,10,10,,,/es/jugadores/5c0466ba/Yusuf-Barasi
Semih Güler,,DF,30-151,21,21,"1,890",21.0,2,0,2,2,0,0,6,0,0.10,0.00,0.10,0.10,0.10,Partidos,16,6,37.5,0.76,0.29,0.13,0.33,,,,,,,,,,,,,,,,,,90,65.6,90,21,0,,0,0.38,19,48,-29,-1.38,+0.62,0,12,6,0,5,19,13,,,/es/jugadores/0feeeef0/Semih-Guler
Tolga Kalender,,DF,23-256,23,21,"1,856",20.6,1,1,2,1,0,0,2,1,0.05,0.05,0.10,0.05,0.10,Partidos,7,4,57.1,0.32,0.18,0.14,0.25,,,,,,,,,,,,,,,,,,81,67.6,86,20,2,28,5,0.38,18,45,-27,-1.25,+1.06,0,10,17,0,3,28,34,,,/es/jugadores/b9437ea5/Tolga-Kalender
Tayfun Aydoğan,,CC,28-336,26,21,"1,813",20.1,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Partidos,25,6,24.0,1.18,0.28,0.04,0.17,,,,,,,,,,,,,,,,,,70,66.1,81,11,5,25,2,0.26,16,51,-35,-1.66,-0.18,0,22,27,1,49,23,17,,,/es/jugadores/e740606e/Tayfun-Aydogan
İzzet Çelik,,CC,20-314,24,21,"1,701",18.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,6,2,33.3,0.30,0.10,0.00,0.00,,,,,,,,,,,,,,,,,,72,62.2,79,9,3,17,4,0.40,19,43,-24,-1.21,+1.03,0,16,49,1,11,22,38,,,/es/jugadores/a3255b25/Izzet-Celik
Ali Yavuz Kol,trTUR,CC,24-091,25,20,"1,527",17.0,0,4,4,0,0,0,3,0,0.00,0.24,0.24,0.00,0.24,Partidos,40,10,25.0,2.24,0.56,0.03,0.10,,,,,,,,,,,,,,,,,,62,55.7,73,1,5,15,2,0.23,18,38,-20,-1.12,+1.07,0,26,24,1,52,7,18,,,/es/jugadores/a0f96745/Ali-Yavuz-Kol
Vedat Karakuş,trTUR,PO,27-061,16,14,"1,275",14.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,36.0,2.54,84.0,49.0,58.3,0.0,2.0,12.0,2.0,14.3,1.0,1.0,1.0,1.0,1.0,0.0,80,44.3,83,11,2,57,13,0.19,10,36,-26,-1.84,-0.43,0,1,3,0,0,1,3,,,/es/jugadores/6634562e/Vedat-Karakus
Deniz Donmezer,,PO,16-221,14,14,"1,183",13.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,33.0,2.33,85.0,57.0,64.7,2.0,2.0,11.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,40.0,85,44.2,85,13,0,,6,0.53,14,33,-19,-1.34,+0.45,0,2,8,0,0,0,1,,,/es/jugadores/483f9da4/Deniz-Donmezer
Nabil Alioui,frFRA,"CC,DL",26-071,23,13,"1,240",13.8,2,2,4,1,1,1,0,0,0.15,0.15,0.29,0.07,0.22,Partidos,22,6,27.3,1.52,0.41,0.05,0.17,,,,,,,,,,,,,,,,,,54,45.3,77,5,11,28,0,0.13,14,38,-24,-1.66,-0.11,0,12,23,4,68,7,4,,,/es/jugadores/b386310a/Nabil-Alioui
Jovan Manev,mkMKD,DF,24-095,15,13,"1,183",13.1,1,1,2,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15,Partidos,9,3,33.3,0.68,0.23,0.11,0.33,,,,,,,,,,,,,,,,,,79,41.1,85,9,2,40,4,0.07,12,42,-30,-2.28,-1.17,0,17,10,0,5,11,5,,,/es/jugadores/8c52d187/Jovan-Manev
Abat Ajymbetow,kzKAZ,DL,29-266,23,12,"1,144",12.7,4,0,4,4,0,0,3,0,0.31,0.00,0.31,0.31,0.31,Partidos,22,8,36.4,1.64,0.60,0.18,0.50,,,,,,,,,,,,,,,,,,50,41.9,73,3,12,28,2,0.42,14,33,-19,-1.42,+0.31,0,14,16,13,3,3,5,,,/es/jugadores/3bfc87fc/Abat-Ajymbetow
Bünyamin Balat,deGER,"CC,DF",28-115,19,11,"1,130",12.6,1,0,1,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Partidos,20,3,15.0,1.48,0.22,0.05,0.33,,,,,,,,,,,,,,,,,,61,42.4,86,9,8,23,4,0.40,18,36,-18,-1.33,+0.46,0,4,28,0,41,7,18,,,/es/jugadores/69bbff44/Bunyamin-Balat
