Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Lewis O'Brien,"€ 41,509","€ 2,158,466",,"May 31, 2025",1,"€ 2,158,466",
Kyle Naughton,"€ 23,719","€ 1,233,409",,"Jun 30, 2025",1,"€ 1,233,409",
Harry Darling,"€ 22,807","€ 1,185,970",,"Jun 30, 2025",1,"€ 1,185,970",
Kristian Pedersen,"€ 21,347","€ 1,110,068",,"Jun 30, 2025",1,"€ 1,110,068",
Lawrence Vigouroux,"€ 17,790","€ 925,057",,"Jun 30, 2027",3,"€ 2,775,171",
Joe Allen,"€ 17,790","€ 925,057",,"Jun 30, 2025",1,"€ 925,057",
Hannes Delcroix,"€ 17,790","€ 925,057",,"Jun 30, 2025",1,"€ 925,057",
Ben Cabango,"€ 14,825","€ 770,881",,"Jun 30, 2028",4,"€ 3,083,523",
Zan Vipotnik,"€ 14,825","€ 770,881",,"Jul 31, 2028",4,"€ 3,083,523",
Jay Fulton,"€ 11,860","€ 616,705",,"Jun 30, 2026",2,"€ 1,233,409",
Jon McLaughlin,"€ 11,860","€ 616,705",,"Jun 30, 2025",1,"€ 616,705",
Josh Tymon,"€ 11,860","€ 616,705",,"Jun 30, 2026",2,"€ 1,233,409",
Gonçalo Franco,"€ 10,081","€ 524,199",,"Jun 30, 2028",4,"€ 2,096,796",
Cyrus Christie,"€ 8,895","€ 462,528",,"Jun 30, 2025",1,"€ 462,528",
Josh Key,"€ 8,302","€ 431,693",,"Jun 30, 2026",2,"€ 863,387",
Ronald,"€ 7,116","€ 370,023",,"Jun 30, 2027",3,"€ 1,110,068",
Myles Peart-Harris,"€ 5,930","€ 308,352",,"May 31, 2025",1,"€ 308,352",
Ji-sung Eom,"€ 5,930","€ 308,352",,"Jun 30, 2028",4,"€ 1,233,409",
Josh Ginnelly,"€ 5,930","€ 308,352",,"Jun 30, 2026",2,"€ 616,705",
Liam Cullen,"€ 4,744","€ 246,682",,"Jun 30, 2028",4,"€ 986,727",
Florian Bianchini,"€ 2,965","€ 154,176",,"Jun 30, 2028",4,"€ 616,705",
Nathan Tjoe-A-On,"€ 2,372","€ 123,341",,"Jun 30, 2026",2,"€ 246,682",
Sam Parker,"€ 2,372","€ 123,341",,"Jun 30, 2028",4,"€ 493,364",
Oliver Cooper,"€ 2,281","€ 118,597",,"Jun 30, 2027",3,"€ 355,791",
