Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
André Gomes,"€ 104,808","€ 5,450,000",,"Jun 30, 2026",2,"€ 10,900,000",
Thomas Meunier,"€ 87,308","€ 4,540,000",,"Jun 30, 2026",2,"€ 9,080,000",
Mitchel Bakker,"€ 76,923","€ 4,000,000",,"Jun 30, 2025",1,"€ 4,000,000",
Samuel Umtiti,"€ 61,538","€ 3,200,000",,"Jun 30, 2025",1,"€ 3,200,000",
Benjamin André,"€ 41,538","€ 2,160,000",,"Jun 30, 2026",2,"€ 4,320,000",
Jonathan David,"€ 37,500","€ 1,950,000",,"Jun 30, 2025",1,"€ 1,950,000",
Ismaily,"€ 34,615","€ 1,800,000",,"Jun 30, 2025",1,"€ 1,800,000",
Bafodé Diakité,"€ 30,000","€ 1,560,000",,"Jun 30, 2028",4,"€ 6,240,000",
Chuba Akpom,"€ 29,808","€ 1,550,000",,"Jun 30, 2025",1,"€ 1,550,000",
Rémy Cabella,"€ 27,692","€ 1,440,000",,"Jun 30, 2025",1,"€ 1,440,000",
Aïssa Mandi,"€ 24,615","€ 1,280,000",,"Jun 30, 2026",2,"€ 2,560,000",
Edon Zhegrova,"€ 23,077","€ 1,200,000",,"Jun 30, 2026",2,"€ 2,400,000",
Lucas Chevalier,"€ 21,923","€ 1,140,000",,"Jun 30, 2027",3,"€ 3,420,000",
Hákon Arnar Haraldsson,"€ 19,231","€ 1,000,000",,"Jun 30, 2028",4,"€ 4,000,000",
Nabil Bentaleb,"€ 19,231","€ 1,000,000",,"Jun 30, 2026",2,"€ 2,000,000",
Tiago Santos,"€ 19,231","€ 1,000,000",,"Jun 30, 2029",5,"€ 5,000,000",
Osame Sahraoui,"€ 17,500","€ 910,000",,"Jun 30, 2029",5,"€ 4,550,000",
Alexsandro,"€ 17,500","€ 910,000",,"Jun 30, 2028",4,"€ 3,640,000",
Mohamed Bayo,"€ 17,308","€ 900,000",,"Jun 30, 2027",3,"€ 2,700,000",
Matias Fernandez-Pardo,"€ 13,846","€ 720,000",,"Jun 30, 2029",5,"€ 3,600,000",
Angel Gomes,"€ 13,654","€ 710,000",,"Jun 30, 2025",1,"€ 710,000",
Ngal'ayel Mukau,"€ 10,385","€ 540,000",,"Jun 30, 2028",4,"€ 2,160,000",
Ethan Mbappé,"€ 10,385","€ 540,000",,"Jun 30, 2027",3,"€ 1,620,000",
Gabriel Gudmundsson,"€ 7,692","€ 400,000",,"Jun 30, 2026",2,"€ 800,000",
Ayyoub Bouaddi,"€ 5,192","€ 270,000",,"Jun 30, 2027",3,"€ 810,000",
Vito Mannone,"€ 4,808","€ 250,000",,"Jun 30, 2025",1,"€ 250,000",
Marc-Aurèle Caillard,"€ 3,462","€ 180,000",,"Jun 30, 2025",1,"€ 180,000",
