Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
30,Ivo Grbic,Goalkeeper,"Jan 18, 1996 (29)",Croatia,"1,95m",right,"Sep 9, 2024",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/ivo-grbic/profil/spieler/226073
1,Tarık Çetin,Goalkeeper,"Jan 8, 1997 (28)",Türkiye,"1,93m",right,"Jul 24, 2019",,"Jun 30, 2025",€350k,https://www.transfermarkt.com/tarik-cetin/profil/spieler/286170
35,Efe Doğan,Goalkeeper,"Aug 20, 2004 (20)",Türkiye,"1,95m",right,"Feb 7, 2025",,"Jun 30, 2029",€200k,https://www.transfermarkt.com/efe-dogan/profil/spieler/966488
4,Attila Mocsi,Centre-Back,"May 29, 2000 (24)",Hungary,"1,90m",right,"Aug 25, 2023",,"Jun 30, 2027",€1.80m,https://www.transfermarkt.com/attila-mocsi/profil/spieler/496996
2,Khusniddin Alikulov,Centre-Back,"Apr 4, 1999 (26)",Uzbekistan,"1,86m",right,"Aug 5, 2023",,"Jun 30, 2026",€1.70m,https://www.transfermarkt.com/khusniddin-alikulov/profil/spieler/581429
3,Samet Akaydin,Centre-Back,"Mar 13, 1994 (31)",Türkiye,"1,90m",right,"Jan 24, 2025",,"Jun 30, 2026",€1.60m,https://www.transfermarkt.com/samet-akaydin/profil/spieler/295024
45,Ayberk Karapo,Centre-Back,"Jul 21, 2004 (20)",Türkiye,"1,86m",right,"Sep 13, 2024",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/ayberk-karapo/profil/spieler/1045547
95,Habil Özbakır,Centre-Back,"Feb 6, 2005 (20)",Türkiye,"1,92m",left,"Jul 1, 2024",,"Jun 30, 2027",-,https://www.transfermarkt.com/habil-ozbakir/profil/spieler/1071936
5,Casper Højer,Left-Back,"Nov 20, 1994 (30)",Denmark,"1,83m",left,"Sep 10, 2023",,"Jun 30, 2026",€1.20m,https://www.transfermarkt.com/casper-hojer/profil/spieler/222977
37,Taha Şahin,Right-Back,"Oct 22, 2000 (24)",Türkiye,"1,78m",right,"Jul 22, 2023",,"Jun 30, 2027",€1.50m,https://www.transfermarkt.com/taha-sahin/profil/spieler/616885
27,Eray Korkmaz,Right-Back,"Jun 8, 2003 (21)",Türkiye,"1,82m",right,"Jul 21, 2023",,"Jun 30, 2026",€250k,https://www.transfermarkt.com/eray-korkmaz/profil/spieler/873440
6,Giannis Papanikolaou,Defensive Midfield,"Nov 18, 1998 (26)",Greece,"1,82m",left,"Jul 1, 2024",,"Jun 30, 2027",€1.50m,https://www.transfermarkt.com/giannis-papanikolaou/profil/spieler/448058
20,Berkay Özcan,Central Midfield,"Feb 15, 1998 (27)","Türkiye, Germany","1,78m",right,"Feb 11, 2025",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/berkay-ozcan/profil/spieler/249952
10,Ibrahim Olawoyin,Central Midfield,"Dec 1, 1997 (27)",Nigeria,"1,78m",right,"Jan 12, 2023",,"Jun 30, 2026",€2.00m,https://www.transfermarkt.com/ibrahim-olawoyin/profil/spieler/672597
18,Muhamed Buljubasic,Central Midfield,"Jul 4, 2004 (20)",Bosnia-Herzegovina,"1,80m",right,"Jul 29, 2024",,"Jun 30, 2028",€1.40m,https://www.transfermarkt.com/muhamed-buljubasic/profil/spieler/687800
54,Mithat Pala,Central Midfield,"Aug 15, 2000 (24)",Türkiye,"1,72m",right,"Jan 4, 2020",,"Jun 30, 2026",€1.30m,https://www.transfermarkt.com/mithat-pala/profil/spieler/703720
7,Abdülkadir Ömür,Attacking Midfield,"Jun 25, 1999 (25)",Türkiye,"1,68m",left,"Feb 10, 2025",,"Jun 30, 2025",€4.70m,https://www.transfermarkt.com/abdulkadir-omur/profil/spieler/271495
8,Dal Varesanovic,Attacking Midfield,"May 23, 2001 (23)","Bosnia-Herzegovina, Croatia","1,77m",right,"Aug 10, 2023",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/dal-varesanovic/profil/spieler/433105
77,Altin Zeqiri,Left Winger,"Jul 18, 2000 (24)","Kosovo, Finland","1,85m",right,"Aug 10, 2023",,"Jun 30, 2026",€1.40m,https://www.transfermarkt.com/altin-zeqiri/profil/spieler/508780
17,Emrecan Bulut,Left Winger,"Nov 26, 2002 (22)",Türkiye,"1,85m",right,"Aug 5, 2024",,"Jun 30, 2028",€375k,https://www.transfermarkt.com/emrecan-bulut/profil/spieler/1050797
97,Doğanay Avcı,Left Winger,"Feb 7, 2006 (19)",Türkiye,"1,87m",right,"Sep 13, 2024",,"Jun 30, 2028",-,https://www.transfermarkt.com/doganay-avci/profil/spieler/1056102
28,David Akintola,Right Winger,"Jan 13, 1996 (29)",Nigeria,"1,78m",right,"Feb 7, 2024",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/david-akintola/profil/spieler/353775
19,Rachid Ghezzal,Right Winger,"May 9, 1992 (32)","Algeria, France","1,82m",left,"Sep 13, 2024",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/rachid-ghezzal/profil/spieler/118287
9,Ali Sowe,Centre-Forward,"Jun 14, 1994 (30)","The Gambia, Italy","1,91m",right,"Jul 3, 2024",,"Jun 30, 2025",€1.90m,https://www.transfermarkt.com/ali-sowe/profil/spieler/229817
15,Vaclav Jurecka,Centre-Forward,"Jun 26, 1994 (30)",Czech Republic,"1,82m",right,"Sep 13, 2024",,"Jun 30, 2026",€1.30m,https://www.transfermarkt.com/vaclav-jurecka/profil/spieler/248355
