Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Uğurcan Çakır,Goalkeeper,"Apr 5, 1996 (29)",Türkiye,"1,91m",right,"Oct 3, 2014",,"Jun 30, 2027",€8.00m,https://www.transfermarkt.com/ugurcan-cakir/profil/spieler/292199
25,Onuralp Çevikkan,Goalkeeper,"Jan 2, 2006 (19)",Türkiye,"1,92m",right,"Jul 1, 2023",,"Jun 30, 2028",€1.20m,https://www.transfermarkt.com/onuralp-cevikkan/profil/spieler/1054214
54,Taha Tepe,Goalkeeper,"Jan 1, 2001 (24)",Türkiye,"1,86m",right,"Aug 4, 2020",,"Jun 30, 2027",€100k,https://www.transfermarkt.com/taha-tepe/profil/spieler/477924
88,Ahmet Yıldırım,Goalkeeper,"Nov 1, 2006 (18)",Türkiye,"1,94m",right,"Jul 1, 2024",,"Jun 30, 2029",-,https://www.transfermarkt.com/ahmet-yildirim/profil/spieler/1174140
44,Arseniy Batagov,Centre-Back,"Mar 5, 2002 (23)",Ukraine,"1,85m",left,"Aug 6, 2024",,"Jun 30, 2028",€3.50m,https://www.transfermarkt.com/arseniy-batagov/profil/spieler/665048
29,Serdar Saatçı,Centre-Back,"Feb 14, 2003 (22)",Türkiye,"1,90m",right,"Sep 5, 2024",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/serdar-saatci/profil/spieler/655899
15,Stefan Savic,Centre-Back,"Jan 8, 1991 (34)","Montenegro, Serbia","1,87m",right,"Jul 26, 2024",,"Jun 30, 2027",€1.10m,https://www.transfermarkt.com/stefan-savic/profil/spieler/107010
4,Hüseyin Türkmen,Centre-Back,"Jan 1, 1998 (27)",Türkiye,"1,83m",right,"Nov 22, 2017",,"Jun 30, 2027",€150k,https://www.transfermarkt.com/huseyin-turkmen/profil/spieler/395862
84,Ali Şahin Yılmaz,Centre-Back,"Jan 1, 2004 (21)",Türkiye,"1,85m",right,"Jul 1, 2024",,"Jun 30, 2027",€100k,https://www.transfermarkt.com/ali-sahin-yilmaz/profil/spieler/743096
19,Mustafa Eskihellaç,Left-Back,"May 5, 1997 (28)",Türkiye,"1,75m",right,"Feb 7, 2025",,"Jun 30, 2027",€1.50m,https://www.transfermarkt.com/mustafa-eskihellac/profil/spieler/390379
