Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Andreas Gianniotis,grGRE,PO,32-139,29,29,"2,610",29.0,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Partidos,0.0,0.0,,0.0,0.0,,,,51.0,1.7,110.0,69.0,60.9,8.0,13.0,9.0,6.0,20.0,8.0,8.0,8.0,8.0,2.0,20.0,90,93.8,90,30,0,,1,1.23,46,51,-5,-0.17,-1.67,0.0,1.0,5.0,0.0,0.0,1.0,0.0,,,/es/jugadores/8ae07c1c/Andreas-Gianniotis
Mamadou Fall,snSEN,"CC,DL",33-120,31,28,"2,582",28.7,9,4,13,9,0,0,2,0,0.31,0.14,0.45,0.31,0.45,Partidos,41.0,19.0,46.3,1.38,0.64,0.22,0.47,,,,,,,,,,,,,,,,,,84,92.8,89,26,3,31,0,1.34,50,54,-4,-0.13,-1.00,0.0,15.0,35.0,24.0,41.0,10.0,16.0,,,/es/jugadores/1524bd4c/Mamadou-Fall
Haris Hajradinović,baBIH,CC,31-071,29,28,"2,442",27.1,8,6,14,2,6,6,4,0,0.29,0.22,0.52,0.07,0.29,Partidos,56.0,21.0,37.5,1.99,0.75,0.04,0.1,,,,,,,,,,,,,,,,,,84,87.9,86,18,1,32,0,1.30,48,50,-2,-0.07,-0.07,0.0,41.0,56.0,2.0,155.0,14.0,31.0,,,/es/jugadores/4e07366b/Haris-Hajradinovic
Yasin Özcan,trTUR,DF,19-010,29,28,"2,333",25.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Partidos,11.0,4.0,36.4,0.41,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,81,84.1,83,21,1,18,0,1.40,44,47,-3,-0.11,-0.31,0.0,41.0,10.0,1.0,22.0,51.0,34.0,,,/es/jugadores/3c841afd/Yasin-Ozcan
Mortadha Ben Ouannes,tnTUN,"CC,DF",30-302,28,26,"2,257",25.1,4,4,8,4,0,0,10,0,0.16,0.16,0.32,0.16,0.32,Partidos,28.0,5.0,17.9,1.07,0.19,0.14,0.8,,,,,,,,,,,,,,,,,,81,81.5,84,19,2,38,0,1.34,45,50,-5,-0.19,-0.70,0.0,43.0,36.0,11.0,68.0,25.0,27.0,,,/es/jugadores/1798891a/Mortadha-Ben-Ouannes
Nuno da Costa,cvCPV,DL,34-079,25,25,"2,137",23.7,10,1,11,10,0,0,6,1,0.42,0.04,0.46,0.42,0.46,Partidos,80.0,29.0,36.3,3.23,1.17,0.13,0.34,,,,,,,,,,,,,,,,,,86,77.3,86,17,0,,0,1.23,36,37,-1,-0.04,+0.10,1.0,41.0,50.0,18.0,5.0,4.0,21.0,,,/es/jugadores/909222de/Nuno-da-Costa
Cláudio Winck,brBRA,DF,31-015,25,25,"2,110",23.4,3,8,11,3,0,0,6,0,0.13,0.34,0.47,0.13,0.47,Partidos,36.0,9.0,25.0,1.53,0.38,0.08,0.33,,,,,,,,,,,,,,,,,,81,73.4,84,16,1,4,0,1.31,42,47,-5,-0.21,-0.57,0.0,36.0,26.0,5.0,100.0,29.0,29.0,,,/es/jugadores/a71dc814/Claudio-Winck
Nicholas Opoku,ghGHA,DF,27-173,26,24,"2,115",23.5,0,0,0,0,0,0,11,1,0.00,0.00,0.00,0.00,0.00,Partidos,5.0,1.0,20.0,0.21,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,81,73.4,86,19,2,23,1,1.46,37,36,+1,+0.04,+0.40,1.0,36.0,15.0,1.0,2.0,26.0,23.0,,,/es/jugadores/b871bf55/Nicholas-Opoku
Kévin Rodrigues,ptPOR,"DF,CC",31-056,24,22,"1,917",21.3,1,1,2,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,Partidos,15.0,6.0,40.0,0.67,0.27,0.07,0.17,,,,,,,,,,,,,,,,,,80,69.7,84,17,2,36,1,1.40,34,29,+5,+0.22,+0.95,0.0,21.0,29.0,1.0,66.0,38.0,37.0,,,/es/jugadores/f1bed920/Kevin-Rodrigues
Aytaç Kara,trTUR,CC,32-038,25,19,"1,764",19.6,6,1,7,5,1,1,4,0,0.31,0.05,0.36,0.26,0.31,Partidos,56.0,13.0,23.2,2.72,0.63,0.09,0.38,,,,,,,,,,,,,,,,,,71,64.4,83,8,6,32,2,1.38,37,33,+4,+0.19,+0.72,0.0,14.0,26.0,1.0,60.0,11.0,20.0,,,/es/jugadores/94c79a82/Aytac-Kara
Gökhan Gül,deGER,CC,26-287,24,17,"1,534",17.0,2,3,5,2,0,0,3,0,0.12,0.18,0.29,0.12,0.29,Partidos,31.0,12.0,38.7,1.82,0.7,0.06,0.17,,,,,,,,,,,,,,,,,,64,53.3,83,6,7,18,2,1.33,27,26,+1,+0.06,+0.26,0.0,15.0,24.0,0.0,7.0,22.0,13.0,,,/es/jugadores/9112b074/Gokhan-Gul
Josip Brekalo,hrCRO,CC,26-311,23,14,"1,317",14.6,4,2,6,4,0,0,3,1,0.27,0.14,0.41,0.27,0.41,Partidos,30.0,12.0,40.0,2.05,0.82,0.13,0.33,,,,,,,,,,,,,,,,,,57,45.7,82,7,9,19,2,1.39,26,31,-5,-0.34,-0.51,0.0,13.0,12.0,0.0,57.0,2.0,17.0,,,/es/jugadores/d4a2533d/Josip-Brekalo
Antonín Barák,czCZE,CC,30-148,22,11,841,9.3,2,0,2,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Partidos,21.0,8.0,38.1,2.25,0.86,0.1,0.25,,,,,,,,,,,,,,,,,,38,29.2,63,1,11,14,4,1.18,13,20,-7,-0.75,-0.97,0.0,7.0,8.0,0.0,12.0,4.0,1.0,,,/es/jugadores/01efac19/Antonin-Barak
Kamil Piątkowski,plPOL,DF,24-313,11,10,922,10.2,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Partidos,1.0,0.0,0.0,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,84,35.1,90,10,1,24,0,1.50,20,19,+1,+0.09,+0.23,0.0,14.0,5.0,0.0,3.0,26.0,10.0,,,/es/jugadores/2cf496fb/Kamil-Piatkowski
Cafú,ptPOR,CC,32-063,29,9,948,10.5,1,0,1,0,1,1,4,0,0.09,0.00,0.09,0.00,0.00,Partidos,15.0,4.0,26.7,1.3,0.35,0.0,0.0,,,,,,,,,,,,,,,,,,35,36.0,73,1,20,15,0,1.43,20,21,-1,-0.09,-0.04,0.0,16.0,8.0,0.0,36.0,6.0,8.0,,,/es/jugadores/85322440/Cafu
Sadık Çiftpınar,trTUR,DF,32-119,17,8,752,8.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.0,0.0,0.12,0.0,0.0,,,,,,,,,,,,,,,,,,,44,26.1,88,7,9,5,13,1.53,16,22,-6,-0.72,-0.89,0.0,11.0,11.0,0.0,0.0,22.0,3.0,,,/es/jugadores/eac8cdb6/Sadik-Ciftpinar
Jhon Espinoza,ecECU,"CC,DF",26-065,17,6,735,8.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,8.0,1.0,12.5,0.88,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,46,28.5,89,6,11,18,4,1.17,14,10,+4,+0.44,+0.70,0.0,9.0,12.0,1.0,35.0,11.0,9.0,,,/es/jugadores/79666d5a/Jhon-Espinoza
Loret Sadiku,alALB,CC,33-276,11,6,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,41,15.6,66,0,5,11,4,1.27,5,10,-5,-1.00,-1.11,0.0,12.0,5.0,0.0,0.0,7.0,2.0,,,/es/jugadores/ec5867a5/Loret-Sadiku
Can Keles,atAUT,"CC,DL",23-240,12,2,392,4.4,2,1,3,2,0,0,1,0,0.46,0.23,0.69,0.46,0.69,Partidos,17.0,7.0,41.2,3.9,1.61,0.12,0.29,,,,,,,,,,,,,,,,,,33,13.6,90,1,10,21,0,1.67,11,5,+6,+1.38,+1.67,0.0,0.0,8.0,1.0,16.0,1.0,2.0,,,/es/jugadores/b1e202b4/Can-Keles
Kenneth Omeruo,ngNGA,DF,31-195,5,1,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.0,0.0,0.56,0.0,0.0,,,,,,,,,,,,,,,,,,,32,5.6,90,1,4,18,1,1.20,6,5,+1,+0.56,+0.65,0.0,3.0,0.0,0.0,0.0,2.0,2.0,,,/es/jugadores/0f0aa5b4/Kenneth-Omeruo
,Tiempo Jugado,Rendimiento,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,,,,,,,,,,
Sinan Bolat,trTUR,PO,36-239,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,3.1,90,1,0,,10,3.00,3,2,+1,+1.00,+1.10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,/es/jugadores/fe7d8182/Sinan-Bolat
Ali Emre Yanar,,PO,26-350,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,3.0,3.0,6.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,3.1,90,1,0,,20,2.00,6,4,+2,+2.00,+2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,/es/jugadores/82f405d5/Ali-Emre-Yanar
Taylan Aydın,trTUR,DF,19-079,3,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,30,3.1,86,0,2,2,28,2.33,3,3,0,0.00,+0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,/es/jugadores/2b3d88d9/Taylan-Aydin
Erdem Çetinkaya,trTUR,DL,24-032,4,0,34,0.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,9,1.2,,0,4,9,9,1.25,1,0,+1,+2.65,+2.74,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,/es/jugadores/d96316d4/Erdem-Cetinkaya
Sinan Alkaş,,DL,18-174,4,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,1.0,100.0,2.9,2.9,0.0,0.0,,,,,,,,,,,,,,,,,,8,1.1,,0,4,8,21,0.75,1,2,-1,-2.90,-2.87,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,/es/jugadores/028cbd01/Sinan-Alkas
Yusuf İnci,,CC,20-088,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,,0,1,1,4,3.00,0,0,0,0.00,+0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,/es/jugadores/f5de08fe/Yusuf-Inci
Adnan Aktas,,DF,18-171,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,8,,,,,,,,,,,,,,,,/es/jugadores/b7377c2e/Adnan-Aktas
Ege Albayrak,,PO,17-253,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/0c5bb7f8/Ege-Albayrak
Yunus Emre Atakaya,,DF,21-003,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,14,,,,,,,,,,,,,,,,/es/jugadores/448ea13c/Yunus-Emre-Atakaya
Sant Kazanci,,PO,16-133,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,/es/jugadores/fcb509c1/Sant-Kazanci
Atakan Müjde,,DF,22-095,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,8,,,,,,,,,,,,,,,,/es/jugadores/25cf7c9a/Atakan-Mujde
Berkay Muratoğlu,trTUR,DF,17-118,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,/es/jugadores/70577f72/Berkay-Muratoglu
Bahtiyar Özden,,,16-184,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/cead07f0/Bahtiyar-Ozden
Yaman Suakar,,CC,16-064,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,16,,,,,,,,,,,,,,,,/es/jugadores/40ea2cb4/Yaman-Suakar
Ali Sühan Demirel,trTUR,DL,22-118,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/f215ea36/Ali-Suhan-Demirel
Sarp Yavrucu,,DL,20-044,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,/es/jugadores/c4656ce0/Sarp-Yavrucu
Emirhan Yigit,,CC,19-000,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,/es/jugadores/e40ac7e4/Emirhan-Yigit
