Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Fiete Arp,"€ 19,231","€ 1,000,000",,"Jun 30, 2026",2,"€ 2,000,000",
John Tolkin,"€ 16,346","€ 850,000",,"Jun 30, 2025",1,"€ 850,000",
Steven Skrzybski,"€ 14,423","€ 750,000",,"Jun 30, 2026",2,"€ 1,500,000",
Armin Gigovic,"€ 14,423","€ 750,000",,"Jun 30, 2025",1,"€ 750,000",
Magnus Knudsen,"€ 14,423","€ 750,000",,"Jun 30, 2025",1,"€ 750,000",
Benedikt Pichler,"€ 12,500","€ 650,000",,"Jun 30, 2027",3,"€ 1,950,000",
Timo Becker,"€ 11,346","€ 590,000",,"Jun 30, 2025",1,"€ 590,000",
Marvin Schulz,"€ 10,577","€ 550,000",,"Jun 30, 2025",1,"€ 550,000",
Thomas Dähne,"€ 10,000","€ 520,000",,"Jun 30, 2026",2,"€ 1,040,000",
Alexander Bernhardsson,"€ 9,231","€ 480,000",,"Jun 30, 2027",3,"€ 1,440,000",
Patrick Erras,"€ 9,038","€ 470,000",,"Jun 30, 2026",2,"€ 940,000",
Lewis Holtby,"€ 8,077","€ 420,000",,"Jun 30, 2025",1,"€ 420,000",
Shuto Machino,"€ 8,077","€ 420,000",,"Jun 30, 2027",3,"€ 1,260,000",
David Zec,"€ 7,308","€ 380,000",,"Jun 30, 2029",5,"€ 1,900,000",
Colin Kleine-Bekel,"€ 6,923","€ 360,000",,"Jun 30, 2025",1,"€ 360,000",
Ivan Nekic,"€ 6,538","€ 340,000",,"Jun 30, 2025",1,"€ 340,000",
Timon Weiner,"€ 6,538","€ 340,000",,"Jun 30, 2027",3,"€ 1,020,000",
Carl Johansson,"€ 5,769","€ 300,000",,"Jun 30, 2026",2,"€ 600,000",
Marko Ivezic,"€ 5,192","€ 270,000",,"Jun 30, 2027",3,"€ 810,000",
Lasse Rosenboom,"€ 4,615","€ 240,000",,"Jun 30, 2026",2,"€ 480,000",
Nicolai Remberg,"€ 4,615","€ 240,000",,"Jun 30, 2026",2,"€ 480,000",
Dominik Javorcek,"€ 4,231","€ 220,000",,"Jun 30, 2025",1,"€ 220,000",
Max Geschwill,"€ 3,846","€ 200,000",,"Jun 30, 2025",1,"€ 200,000",
Phil Harres,"€ 3,846","€ 200,000",,"Jun 30, 2025",1,"€ 200,000",
Finn Porath,"€ 3,654","€ 190,000",,"Jun 30, 2026",2,"€ 380,000",
Marcel Engelhardt,"€ 2,885","€ 150,000",,"Jun 30, 2025",1,"€ 150,000",
Andu Kelati,"€ 2,692","€ 140,000",,"Jun 30, 2028",4,"€ 560,000",
Marco Komenda,"€ 2,308","€ 120,000",,"Jun 30, 2026",2,"€ 240,000",
Aurel Wagbe,"€ 2,308","€ 120,000",,"Jun 30, 2026",2,"€ 240,000",
Tyler Doğan,"€ 1,923","€ 100,000",,"Jun 30, 2028",4,"€ 400,000",
