Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Kartal Yılmaz,trTUR,CC,24-177,29,28,"2,463",27.4,3,5,8,2,1,1,8,0,0.11,0.18,0.29,0.07,0.26,Partidos,35.0,17.0,48.6,1.24,0.6,0.06,0.12,,,,,,,,,,,,,,,,,,85,88.3,87,19,1,6,0,1.33,36,43,-7,-0.25,+0.55,0.0,49.0,31.0,2.0,170.0,24.0,39.0,,,/es/jugadores/7e763ddc/Kartal-Yilmaz
Miguel Filipe Nunes Cardoso,ptPOR,"CC,DL",30-315,28,28,"2,409",26.8,5,6,11,5,0,0,8,0,0.19,0.22,0.41,0.19,0.41,Partidos,59.0,24.0,40.7,2.13,0.86,0.08,0.21,,,,,,,,,,,,,,,,,,86,86.7,86,14,0,,0,1.38,33,37,-4,-0.14,+1.27,0.0,42.0,32.0,15.0,138.0,1.0,20.0,,,/es/jugadores/f9c7bf18/Miguel-Filipe-Nunes-Cardoso
Gökhan Sazdağı,trTUR,DF,30-222,26,26,"2,280",25.3,0,3,3,0,0,0,8,2,0.00,0.12,0.12,0.00,0.12,Partidos,19.0,4.0,21.1,0.72,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,88,82.3,88,23,0,,0,1.30,35,40,-5,-0.19,+0.69,1.0,46.0,24.0,2.0,80.0,52.0,68.0,,,/es/jugadores/01fed96a/Gokhan-Sazdagi
Joseph Larweh Attamah,ghGHA,"DF,CC",30-343,27,25,"2,258",25.1,1,0,1,1,0,1,7,2,0.04,0.00,0.04,0.04,0.04,Partidos,11.0,3.0,27.3,0.42,0.11,0.09,0.33,,,,,,,,,,,,,,,,,,84,81.5,89,22,2,23,1,1.36,32,39,-7,-0.27,+0.24,2.0,17.0,18.0,0.0,4.0,22.0,25.0,,,/es/jugadores/958aba30/Joseph-Larweh-Attamah
Mehdi Bourabia,maMAR,CC,33-266,27,24,"1,849",20.5,1,4,5,1,0,0,8,0,0.05,0.19,0.24,0.05,0.24,Partidos,25.0,4.0,16.0,1.19,0.19,0.04,0.25,,,,,,,,,,,,,,,,,,68,65.8,74,5,4,32,2,1.29,23,27,-4,-0.19,+0.36,0.0,49.0,10.0,3.0,14.0,15.0,11.0,,,/es/jugadores/0d077b88/Mehdi-Bourabia
Lionel Carole,frFRA,DF,34-018,26,23,"2,066",23.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,80,74.9,88,19,3,13,2,1.33,31,37,-6,-0.25,+0.25,0.0,13.0,22.0,0.0,21.0,36.0,14.0,,,/es/jugadores/5b5724d2/Lionel-Carole
Bilal Bayazit,nlNED,PO,26-022,22,22,"1,980",22.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,28.0,1.22,91.0,66.0,73.6,9.0,9.0,5.0,9.0,39.1,4.0,4.0,4.0,4.0,0.0,0.0,90,71.9,90,23,0,,3,1.57,32,28,+4,+0.17,+1.73,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,/es/jugadores/f0a63d14/Bilal-Bayazit
Hasan Ali Kaldırım,trTUR,"DF,CC",35-142,23,18,"1,578",17.5,2,1,3,2,0,0,4,0,0.11,0.06,0.17,0.11,0.17,Partidos,13.0,4.0,30.8,0.74,0.23,0.15,0.5,,,,,,,,,,,,,,,,,,66,54.8,83,11,6,14,2,1.21,19,31,-12,-0.68,-0.82,0.0,8.0,11.0,3.0,90.0,10.0,17.0,,,/es/jugadores/edd38473/Hasan-Ali-Kaldirim
Ali Karimi,irIRN,CC,31-078,26,17,"1,603",17.8,1,2,3,1,0,0,2,0,0.06,0.11,0.17,0.06,0.17,Partidos,19.0,8.0,42.1,1.01,0.43,0.05,0.13,,,,,,,,,,,,,,,,,,63,58.8,79,9,9,31,1,1.30,28,27,+1,+0.05,+0.89,0.0,38.0,11.0,1.0,42.0,22.0,21.0,,,/es/jugadores/3840bfb9/Ali-Karimi
Carlos Mané,gwGNB,CC,31-050,26,17,"1,523",16.9,3,2,5,3,0,0,3,0,0.18,0.12,0.30,0.18,0.30,Partidos,26.0,10.0,38.5,1.51,0.58,0.12,0.3,,,,,,,,,,,,,,,,,,57,53.7,76,4,10,25,0,1.44,22,24,-2,-0.12,+0.42,0.0,24.0,25.0,6.0,52.0,20.0,16.0,,,/es/jugadores/7a854622/Carlos-Mane
