Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Pierre-Emile Højbjerg,"€ 118,846","€ 6,180,000",,"Jun 30, 2025",1,"€ 6,180,000",
Geoffrey Kondogbia,"€ 104,808","€ 5,450,000",,"Jun 30, 2027",3,"€ 16,350,000",
Mason Greenwood,"€ 104,808","€ 5,450,000",,"Jun 30, 2029",5,"€ 27,250,000",
Ismaël Bennacer,"€ 104,808","€ 5,450,000",,"Jun 30, 2025",1,"€ 5,450,000",
Amine Gouiri,"€ 87,500","€ 4,550,000",,"Jun 30, 2029",5,"€ 22,750,000",
Leonardo Balerdi,"€ 80,769","€ 4,200,000",,"Jun 30, 2028",4,"€ 16,800,000",
Valentin Rongier,"€ 76,154","€ 3,960,000",,"Jun 30, 2026",2,"€ 7,920,000",
Chancel Mbemba,"€ 73,846","€ 3,840,000",,"Jun 30, 2025",1,"€ 3,840,000",
Luiz Felipe,"€ 70,000","€ 3,640,000",,"Jun 30, 2026",2,"€ 7,280,000",
Amine Harit,"€ 59,615","€ 3,100,000",,"Jun 30, 2027",3,"€ 9,300,000",
Neal Maupay,"€ 57,692","€ 3,000,000",,"Jun 30, 2025",1,"€ 3,000,000",
Michael Murillo,"€ 52,500","€ 2,730,000",,"Jun 30, 2028",4,"€ 10,920,000",
Valentín Carboni,"€ 52,500","€ 2,730,000",,"Jun 30, 2025",1,"€ 2,730,000",
Gerónimo Rulli,"€ 48,846","€ 2,540,000",,"Jun 30, 2027",3,"€ 7,620,000",
Rubén Blanco,"€ 48,077","€ 2,500,000",,"Jun 30, 2026",2,"€ 5,000,000",
Amar Dedic,"€ 35,000","€ 1,820,000",,"Jun 30, 2025",1,"€ 1,820,000",
Luis Henrique,"€ 24,615","€ 1,280,000",,"Jun 30, 2028",4,"€ 5,120,000",
Quentin Merlin,"€ 23,077","€ 1,200,000",,"Jun 30, 2028",4,"€ 4,800,000",
Faris Moumbagna,"€ 21,154","€ 1,100,000",,"Jun 30, 2028",4,"€ 4,400,000",
Pol Lirola,"€ 19,231","€ 1,000,000",,"Jun 30, 2026",2,"€ 2,000,000",
Jonathan Rowe,"€ 17,308","€ 900,000",,"Jun 30, 2025",1,"€ 900,000",
Ulisses Garcia,"€ 17,308","€ 900,000",,"Jun 30, 2028",4,"€ 3,600,000",
Derek Cornelius,"€ 13,846","€ 720,000",,"Jun 30, 2028",4,"€ 2,880,000",
Jeffrey de Lange,"€ 12,308","€ 640,000",,"Jun 30, 2027",3,"€ 1,920,000",
Bilal Nadir,"€ 5,192","€ 270,000",,"Jun 30, 2026",2,"€ 540,000",
Jelle Van Neck,"€ 3,077","€ 160,000",,"Jun 30, 2027",3,"€ 480,000",
Darryl Bakola,"€ 2,692","€ 140,000",,"Jun 30, 2027",3,"€ 420,000",
Keyliane Abdallah,"€ 2,692","€ 140,000",,"Jun 30, 2026",2,"€ 280,000",
Gaël Lafont,"€ 2,692","€ 140,000",,"Jun 30, 2026",2,"€ 280,000",
